"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"	"Harmonic Energy (eV)"	"Harmonic: 9"	"Harmonic Energy (eV)"	"Harmonic: 11"
1.89927e+4	6.02590e-6	5.69780e+4	5.13719e-6	9.49634e+4	4.99746e-6	1.32949e+5	4.95003e-6	1.70934e+5	4.92663e-6	2.08919e+5	4.91270e-6
1.89726e+4	6.02741e-6	5.69178e+4	5.13794e-6	9.48630e+4	4.99809e-6	1.32808e+5	4.95062e-6	1.70753e+5	4.92720e-6	2.08699e+5	4.91325e-6
1.89126e+4	6.03274e-6	5.67379e+4	5.14021e-6	9.45632e+4	4.99997e-6	1.32388e+5	4.95236e-6	1.70214e+5	4.92888e-6	2.08039e+5	4.91489e-6
1.88135e+4	6.03951e-6	5.64406e+4	5.14398e-6	9.40677e+4	5.00310e-6	1.31695e+5	4.95528e-6	1.69322e+5	4.93168e-6	2.06949e+5	4.91763e-6
1.86765e+4	6.05085e-6	5.60296e+4	5.14926e-6	9.33826e+4	5.00748e-6	1.30736e+5	4.95935e-6	1.68089e+5	4.93560e-6	2.05442e+5	4.92146e-6
1.85033e+4	6.06363e-6	5.55098e+4	5.15604e-6	9.25163e+4	5.01312e-6	1.29523e+5	4.96459e-6	1.66529e+5	4.94064e-6	2.03536e+5	4.92638e-6
1.82958e+4	6.08015e-6	5.48875e+4	5.16432e-6	9.14791e+4	5.01999e-6	1.28071e+5	4.97098e-6	1.64662e+5	4.94679e-6	2.01254e+5	4.93239e-6
1.80566e+4	6.09962e-6	5.41698e+4	5.17408e-6	9.02830e+4	5.02810e-6	1.26396e+5	4.97852e-6	1.62509e+5	4.95405e-6	1.98622e+5	4.93947e-6
1.77882e+4	6.12201e-6	5.33646e+4	5.18532e-6	8.89410e+4	5.03744e-6	1.24517e+5	4.98720e-6	1.60094e+5	4.96241e-6	1.95670e+5	4.94764e-6
1.74935e+4	6.14819e-6	5.24806e+4	5.19803e-6	8.74676e+4	5.04801e-6	1.22455e+5	4.99703e-6	1.57442e+5	4.97187e-6	1.92429e+5	4.95688e-6
1.71755e+4	6.17541e-6	5.15265e+4	5.21220e-6	8.58776e+4	5.05980e-6	1.20229e+5	5.00799e-6	1.54580e+5	4.98242e-6	1.88931e+5	4.96719e-6
1.68372e+4	6.20635e-6	5.05116e+4	5.22781e-6	8.41861e+4	5.07279e-6	1.17860e+5	5.02008e-6	1.51535e+5	4.99406e-6	1.85209e+5	4.97855e-6
1.64817e+4	6.24106e-6	4.94450e+4	5.24486e-6	8.24083e+4	5.08698e-6	1.15372e+5	5.03328e-6	1.48335e+5	5.00677e-6	1.81298e+5	4.99097e-6
1.61118e+4	6.27752e-6	4.83355e+4	5.26333e-6	8.05592e+4	5.10236e-6	1.12783e+5	5.04759e-6	1.45007e+5	5.02055e-6	1.77230e+5	5.00443e-6
