"Harmonic Energy (eV)"	"Harmonic: 1: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 3: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 5: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 7: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 9: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 11: spatial_profile-8.json"
1.86203e+4	6.00117e-6	5.58608e+4	4.97006e-6	9.31014e+4	4.73698e-6	1.30342e+5	4.63350e-6	1.67582e+5	4.57500e-6	2.04823e+5	4.53738e-6
1.85214e+4	6.00871e-6	5.55643e+4	4.97309e-6	9.26072e+4	4.73889e-6	1.29650e+5	4.63490e-6	1.66693e+5	4.57610e-6	2.03736e+5	4.53829e-6
1.84120e+4	6.01714e-6	5.52359e+4	4.97649e-6	9.20598e+4	4.74103e-6	1.28884e+5	4.63646e-6	1.65708e+5	4.57733e-6	2.02532e+5	4.53930e-6
1.82922e+4	6.02647e-6	5.48767e+4	4.98025e-6	9.14611e+4	4.74340e-6	1.28046e+5	4.63819e-6	1.64630e+5	4.57870e-6	2.01214e+5	4.54043e-6
1.81627e+4	6.03668e-6	5.44880e+4	4.98437e-6	9.08133e+4	4.74600e-6	1.27139e+5	4.64009e-6	1.63464e+5	4.58019e-6	1.99789e+5	4.54166e-6
1.80237e+4	6.04778e-6	5.40712e+4	4.98886e-6	9.01187e+4	4.74882e-6	1.26166e+5	4.64215e-6	1.62214e+5	4.58182e-6	1.98261e+5	4.54300e-6
1.78759e+4	6.05975e-6	5.36277e+4	4.99370e-6	8.93795e+4	4.75187e-6	1.25131e+5	4.64438e-6	1.60883e+5	4.58357e-6	1.96635e+5	4.54445e-6
1.77196e+4	6.07260e-6	5.31589e+4	4.99890e-6	8.85982e+4	4.75515e-6	1.24038e+5	4.64678e-6	1.59477e+5	4.58546e-6	1.94916e+5	4.54601e-6
1.75555e+4	6.08632e-6	5.26664e+4	5.00445e-6	8.77774e+4	4.75866e-6	1.22888e+5	4.64934e-6	1.57999e+5	4.58748e-6	1.93110e+5	4.54768e-6
1.73839e+4	6.10089e-6	5.21517e+4	5.01037e-6	8.69195e+4	4.76239e-6	1.21687e+5	4.65207e-6	1.56455e+5	4.58963e-6	1.91223e+5	4.54946e-6
1.72054e+4	6.11632e-6	5.16163e+4	5.01663e-6	8.60272e+4	4.76635e-6	1.20438e+5	4.65496e-6	1.54849e+5	4.59191e-6	1.89260e+5	4.55134e-6
1.70206e+4	6.13260e-6	5.10618e+4	5.02325e-6	8.51031e+4	4.77053e-6	1.19144e+5	4.65802e-6	1.53186e+5	4.59433e-6	1.87227e+5	4.55333e-6
1.68300e+4	6.14972e-6	5.04899e+4	5.03023e-6	8.41498e+4	4.77493e-6	1.17810e+5	4.66124e-6	1.51470e+5	4.59687e-6	1.85130e+5	4.55543e-6
1.66340e+4	6.16768e-6	4.99020e+4	5.03755e-6	8.31699e+4	4.77956e-6	1.16438e+5	4.66463e-6	1.49706e+5	4.59954e-6	1.82974e+5	4.55764e-6
1.64332e+4	6.18647e-6	4.92997e+4	5.04522e-6	8.21661e+4	4.78442e-6	1.15033e+5	4.66818e-6	1.47899e+5	4.60234e-6	1.80765e+5	4.55995e-6
