"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"	"Harmonic Energy (eV)"	"Harmonic: 9"	"Harmonic Energy (eV)"	"Harmonic: 11"
1.89927e+4	5.97338e-6	5.69780e+4	4.95889e-6	9.49634e+4	4.72995e-6	1.32949e+5	4.62837e-6	1.70934e+5	4.57096e-6	2.08919e+5	4.53405e-6
1.89726e+4	5.97486e-6	5.69178e+4	4.95948e-6	9.48630e+4	4.73032e-6	1.32808e+5	4.62864e-6	1.70753e+5	4.57117e-6	2.08699e+5	4.53422e-6
1.89126e+4	5.97927e-6	5.67379e+4	4.96125e-6	9.45632e+4	4.73144e-6	1.32388e+5	4.62945e-6	1.70214e+5	4.57181e-6	2.08039e+5	4.53475e-6
1.88135e+4	5.98663e-6	5.64406e+4	4.96421e-6	9.40677e+4	4.73330e-6	1.31695e+5	4.63081e-6	1.69322e+5	4.57288e-6	2.06949e+5	4.53563e-6
1.86765e+4	5.99691e-6	5.60296e+4	4.96834e-6	9.33826e+4	4.73590e-6	1.30736e+5	4.63271e-6	1.68089e+5	4.57438e-6	2.05442e+5	4.53687e-6
1.85033e+4	6.01010e-6	5.55098e+4	4.97366e-6	9.25163e+4	4.73924e-6	1.29523e+5	4.63515e-6	1.66529e+5	4.57630e-6	2.03536e+5	4.53846e-6
1.82958e+4	6.02619e-6	5.48875e+4	4.98014e-6	9.14791e+4	4.74333e-6	1.28071e+5	4.63814e-6	1.64662e+5	4.57865e-6	2.01254e+5	4.54040e-6
1.80566e+4	6.04514e-6	5.41698e+4	4.98779e-6	9.02830e+4	4.74815e-6	1.26396e+5	4.64166e-6	1.62509e+5	4.58143e-6	1.98622e+5	4.54269e-6
1.77882e+4	6.06694e-6	5.33646e+4	4.99660e-6	8.89410e+4	4.75371e-6	1.24517e+5	4.64572e-6	1.60094e+5	4.58463e-6	1.95670e+5	4.54533e-6
1.74935e+4	6.09155e-6	5.24806e+4	5.00658e-6	8.74676e+4	4.76000e-6	1.22455e+5	4.65032e-6	1.57442e+5	4.58825e-6	1.92429e+5	4.54832e-6
1.71755e+4	6.11894e-6	5.15265e+4	5.01770e-6	8.58776e+4	4.76702e-6	1.20229e+5	4.65545e-6	1.54580e+5	4.59230e-6	1.88931e+5	4.55166e-6
1.68372e+4	6.14907e-6	5.05116e+4	5.02996e-6	8.41861e+4	4.77476e-6	1.17860e+5	4.66112e-6	1.51535e+5	4.59677e-6	1.85209e+5	4.55535e-6
1.64817e+4	6.18190e-6	4.94450e+4	5.04335e-6	8.24083e+4	4.78324e-6	1.15372e+5	4.66732e-6	1.48335e+5	4.60166e-6	1.81298e+5	4.55939e-6
1.61118e+4	6.21738e-6	4.83355e+4	5.05787e-6	8.05592e+4	4.79243e-6	1.12783e+5	4.67405e-6	1.45007e+5	4.60697e-6	1.77230e+5	4.56377e-6
1.57306e+4	6.25548e-6	4.71919e+4	5.07351e-6	7.86532e+4	4.80233e-6	1.10115e+5	4.68131e-6	1.41576e+5	4.61270e-6	1.73037e+5	4.56850e-6
1.53408e+4	6.29615e-6	4.60224e+4	5.09025e-6	7.67040e+4	4.81295e-6	1.07386e+5	4.68909e-6	1.38067e+5	4.61884e-6	1.68749e+5	4.57358e-6
1.49449e+4	6.33933e-6	4.48347e+4	5.10808e-6	7.47244e+4	4.82427e-6	1.04614e+5	4.69739e-6	1.34504e+5	4.62540e-6	1.64394e+5	4.57900e-6
1.45453e+4	6.38498e-6	4.36359e+4	5.12700e-6	7.27264e+4	4.83630e-6	1.01817e+5	4.70622e-6	1.30908e+5	4.63237e-6	1.59998e+5	4.58476e-6
1.41442e+4	6.43304e-6	4.24325e+4	5.14699e-6	7.07209e+4	4.84902e-6	9.90092e+4	4.71556e-6	1.27298e+5	4.63975e-6	1.55586e+5	4.59086e-6
1.37435e+4	6.48346e-6	4.12305e+4	5.16803e-6	6.87176e+4	4.86243e-6	9.62046e+4	4.72541e-6	1.23692e+5	4.64754e-6	1.51179e+5	4.59731e-6
1.33451e+4	6.53618e-6	4.00352e+4	5.19012e-6	6.67253e+4	4.87653e-6	9.34154e+4	4.73578e-6	1.20105e+5	4.65574e-6	1.46796e+5	4.60409e-6
1.29503e+4	6.59116e-6	3.88510e+4	5.21324e-6	6.47517e+4	4.89130e-6	9.06524e+4	4.74665e-6	1.16553e+5	4.66434e-6	1.42454e+5	4.61121e-6
1.25607e+4	6.64832e-6	3.76821e+4	5.23738e-6	6.28035e+4	4.90675e-6	8.79249e+4	4.75802e-6	1.13046e+5	4.67335e-6	1.38168e+5	4.61866e-6
1.21773e+4	6.70762e-6	3.65318e+4	5.26253e-6	6.08864e+4	4.92287e-6	8.52409e+4	4.76990e-6	1.09595e+5	4.68276e-6	1.33950e+5	4.62645e-6
1.18010e+4	6.76901e-6	3.54031e+4	5.28866e-6	5.90052e+4	4.93964e-6	8.26072e+4	4.78227e-6	1.06209e+5	4.69256e-6	1.29811e+5	4.63457e-6
1.14328e+4	6.83242e-6	3.42983e+4	5.31577e-6	5.71638e+4	4.95707e-6	8.00294e+4	4.79513e-6	1.02895e+5	4.70276e-6	1.25760e+5	4.64302e-6
1.10731e+4	6.89779e-6	3.32193e+4	5.34384e-6	5.53655e+4	4.97515e-6	7.75117e+4	4.80849e-6	9.96580e+4	4.71335e-6	1.21804e+5	4.65180e-6
1.07226e+4	6.96508e-6	3.21677e+4	5.37286e-6	5.36128e+4	4.99386e-6	7.50579e+4	4.82232e-6	9.65031e+4	4.72434e-6	1.17948e+5	4.66091e-6
1.03815e+4	7.03424e-6	3.11445e+4	5.40280e-6	5.19075e+4	5.01321e-6	7.26706e+4	4.83664e-6	9.34336e+4	4.73571e-6	1.14197e+5	4.67034e-6
1.00502e+4	7.10519e-6	3.01507e+4	5.43366e-6	5.02511e+4	5.03318e-6	7.03515e+4	4.85144e-6	9.04520e+4	4.74746e-6	1.10552e+5	4.68009e-6
