"Harmonic Energy (eV)"	"Harmonic: 1: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 3: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 5: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 7: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 9: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 11: spatial_profile-9.json"
1.86203e+4	3.01825e-5	5.58608e+4	3.01642e-5	9.31014e+4	3.01606e-5	1.30342e+5	3.01590e-5	1.67582e+5	3.01581e-5	2.04823e+5	3.01576e-5
1.85214e+4	3.01826e-5	5.55643e+4	3.01643e-5	9.26072e+4	3.01606e-5	1.29650e+5	3.01590e-5	1.66693e+5	3.01581e-5	2.03736e+5	3.01576e-5
1.84120e+4	3.01828e-5	5.52359e+4	3.01643e-5	9.20598e+4	3.01606e-5	1.28884e+5	3.01590e-5	1.65708e+5	3.01582e-5	2.02532e+5	3.01576e-5
1.82922e+4	3.01830e-5	5.48767e+4	3.01644e-5	9.14611e+4	3.01607e-5	1.28046e+5	3.01591e-5	1.64630e+5	3.01582e-5	2.01214e+5	3.01576e-5
1.81627e+4	3.01832e-5	5.44880e+4	3.01645e-5	9.08133e+4	3.01607e-5	1.27139e+5	3.01591e-5	1.63464e+5	3.01582e-5	1.99789e+5	3.01576e-5
1.80237e+4	3.01834e-5	5.40712e+4	3.01645e-5	9.01187e+4	3.01607e-5	1.26166e+5	3.01591e-5	1.62214e+5	3.01582e-5	1.98261e+5	3.01577e-5
1.78759e+4	3.01836e-5	5.36277e+4	3.01646e-5	8.93795e+4	3.01608e-5	1.25131e+5	3.01592e-5	1.60883e+5	3.01583e-5	1.96635e+5	3.01577e-5
1.77196e+4	3.01839e-5	5.31589e+4	3.01647e-5	8.85982e+4	3.01608e-5	1.24038e+5	3.01592e-5	1.59477e+5	3.01583e-5	1.94916e+5	3.01577e-5
1.75555e+4	3.01842e-5	5.26664e+4	3.01648e-5	8.77774e+4	3.01609e-5	1.22888e+5	3.01592e-5	1.57999e+5	3.01583e-5	1.93110e+5	3.01577e-5
1.73839e+4	3.01844e-5	5.21517e+4	3.01649e-5	8.69195e+4	3.01610e-5	1.21687e+5	3.01593e-5	1.56455e+5	3.01583e-5	1.91223e+5	3.01577e-5
1.72054e+4	3.01848e-5	5.16163e+4	3.01650e-5	8.60272e+4	3.01610e-5	1.20438e+5	3.01593e-5	1.54849e+5	3.01584e-5	1.89260e+5	3.01578e-5
1.70206e+4	3.01851e-5	5.10618e+4	3.01651e-5	8.51031e+4	3.01611e-5	1.19144e+5	3.01594e-5	1.53186e+5	3.01584e-5	1.87227e+5	3.01578e-5
1.68300e+4	3.01854e-5	5.04899e+4	3.01652e-5	8.41498e+4	3.01611e-5	1.17810e+5	3.01594e-5	1.51470e+5	3.01584e-5	1.85130e+5	3.01578e-5
1.66340e+4	3.01858e-5	4.99020e+4	3.01653e-5	8.31699e+4	3.01612e-5	1.16438e+5	3.01595e-5	1.49706e+5	3.01585e-5	1.82974e+5	3.01579e-5
1.64332e+4	3.01861e-5	4.92997e+4	3.01654e-5	8.21661e+4	3.01613e-5	1.15033e+5	3.01595e-5	1.47899e+5	3.01585e-5	1.80765e+5	3.01579e-5
1.62282e+4	3.01865e-5	4.86845e+4	3.01656e-5	8.11408e+4	3.01614e-5	1.13597e+5	3.01596e-5	1.46053e+5	3.01586e-5	1.78510e+5	3.01579e-5
1.60193e+4	3.01869e-5	4.80580e+4	3.01657e-5	8.00966e+4	3.01615e-5	1.12135e+5	3.01596e-5	1.44174e+5	3.01586e-5	1.76212e+5	3.01580e-5
1.58072e+4	3.01874e-5	4.74215e+4	3.01658e-5	7.90358e+4	3.01615e-5	1.10650e+5	3.01597e-5	1.42264e+5	3.01587e-5	1.73879e+5	3.01580e-5
1.55922e+4	3.01878e-5	4.67765e+4	3.01660e-5	7.79609e+4	3.01616e-5	1.09145e+5	3.01598e-5	1.40330e+5	3.01587e-5	1.71514e+5	3.01581e-5
1.53748e+4	3.01883e-5	4.61244e+4	3.01661e-5	7.68740e+4	3.01617e-5	1.07624e+5	3.01598e-5	1.38373e+5	3.01588e-5	1.69123e+5	3.01581e-5
1.51555e+4	3.01888e-5	4.54665e+4	3.01663e-5	7.57775e+4	3.01618e-5	1.06089e+5	3.01599e-5	1.36400e+5	3.01588e-5	1.66711e+5	3.01581e-5
1.49347e+4	3.01893e-5	4.48040e+4	3.01665e-5	7.46734e+4	3.01619e-5	1.04543e+5	3.01600e-5	1.34412e+5	3.01589e-5	1.64281e+5	3.01582e-5
1.47127e+4	3.01898e-5	4.41382e+4	3.01666e-5	7.35636e+4	3.01620e-5	1.02989e+5	3.01600e-5	1.32415e+5	3.01589e-5	1.61840e+5	3.01582e-5
1.44900e+4	3.01903e-5	4.34701e+4	3.01668e-5	7.24502e+4	3.01621e-5	1.01430e+5	3.01601e-5	1.30410e+5	3.01590e-5	1.59390e+5	3.01583e-5
1.42670e+4	3.01909e-5	4.28010e+4	3.01670e-5	7.13349e+4	3.01622e-5	9.98689e+4	3.01602e-5	1.28403e+5	3.01591e-5	1.56937e+5	3.01583e-5
1.40439e+4	3.01914e-5	4.21317e+4	3.01672e-5	7.02195e+4	3.01624e-5	9.83072e+4	3.01603e-5	1.26395e+5	3.01591e-5	1.54483e+5	3.01584e-5
1.38211e+4	3.01920e-5	4.14633e+4	3.01674e-5	6.91054e+4	3.01625e-5	9.67476e+4	3.01604e-5	1.24390e+5	3.01592e-5	1.52032e+5	3.01584e-5
1.35989e+4	3.01926e-5	4.07966e+4	3.01676e-5	6.79943e+4	3.01626e-5	9.51920e+4	3.01604e-5	1.22390e+5	3.01593e-5	1.49587e+5	3.01585e-5
1.33775e+4	3.01932e-5	4.01325e+4	3.01678e-5	6.68875e+4	3.01627e-5	9.36425e+4	3.01605e-5	1.20398e+5	3.01593e-5	1.47153e+5	3.01585e-5
1.31573e+4	3.01939e-5	3.94718e+4	3.01680e-5	6.57863e+4	3.01628e-5	9.21009e+4	3.01606e-5	1.18415e+5	3.01594e-5	1.44730e+5	3.01586e-5
1.29384e+4	3.01945e-5	3.88152e+4	3.01682e-5	6.46920e+4	3.01630e-5	9.05688e+4	3.01607e-5	1.16446e+5	3.01595e-5	1.42322e+5	3.01587e-5
1.27211e+4	3.01952e-5	3.81633e+4	3.01685e-5	6.36056e+4	3.01631e-5	8.90478e+4	3.01608e-5	1.14490e+5	3.01595e-5	1.39932e+5	3.01587e-5
1.25056e+4	3.01959e-5	3.75168e+4	3.01687e-5	6.25281e+4	3.01632e-5	8.75393e+4	3.01609e-5	1.12551e+5	3.01596e-5	1.37562e+5	3.01588e-5
1.22921e+4	3.01966e-5	3.68763e+4	3.01689e-5	6.14604e+4	3.01634e-5	8.60446e+4	3.01610e-5	1.10629e+5	3.01597e-5	1.35213e+5	3.01589e-5
1.20807e+4	3.01973e-5	3.62421e+4	3.01692e-5	6.04035e+4	3.01635e-5	8.45649e+4	3.01611e-5	1.08726e+5	3.01598e-5	1.32888e+5	3.01589e-5
1.18716e+4	3.01981e-5	3.56148e+4	3.01694e-5	5.93580e+4	3.01637e-5	8.31012e+4	3.01612e-5	1.06844e+5	3.01599e-5	1.30588e+5	3.01590e-5
1.16649e+4	3.01988e-5	3.49948e+4	3.01697e-5	5.83247e+4	3.01638e-5	8.16545e+4	3.01613e-5	1.04984e+5	3.01599e-5	1.28314e+5	3.01591e-5
1.14608e+4	3.01996e-5	3.43824e+4	3.01699e-5	5.73040e+4	3.01640e-5	8.02256e+4	3.01614e-5	1.03147e+5	3.01600e-5	1.26069e+5	3.01591e-5
1.12593e+4	3.02004e-5	3.37780e+4	3.01702e-5	5.62967e+4	3.01641e-5	7.88153e+4	3.01616e-5	1.01334e+5	3.01601e-5	1.23853e+5	3.01592e-5
1.10606e+4	3.02012e-5	3.31818e+4	3.01705e-5	5.53030e+4	3.01643e-5	7.74242e+4	3.01617e-5	9.95454e+4	3.01602e-5	1.21667e+5	3.01593e-5
1.08647e+4	3.02021e-5	3.25941e+4	3.01707e-5	5.43235e+4	3.01645e-5	7.60529e+4	3.01618e-5	9.77823e+4	3.01603e-5	1.19512e+5	3.01594e-5
1.06717e+4	3.02029e-5	3.20151e+4	3.01710e-5	5.33584e+4	3.01646e-5	7.47018e+4	3.01619e-5	9.60452e+4	3.01604e-5	1.17389e+5	3.01594e-5
1.04816e+4	3.02038e-5	3.14449e+4	3.01713e-5	5.24082e+4	3.01648e-5	7.33714e+4	3.01620e-5	9.43347e+4	3.01605e-5	1.15298e+5	3.01595e-5
1.02946e+4	3.02047e-5	3.08837e+4	3.01716e-5	5.14729e+4	3.01650e-5	7.20620e+4	3.01622e-5	9.26511e+4	3.01606e-5	1.13240e+5	3.01596e-5
1.01105e+4	3.02056e-5	3.03316e+4	3.01719e-5	5.05527e+4	3.01652e-5	7.07738e+4	3.01623e-5	9.09949e+4	3.01607e-5	1.11216e+5	3.01597e-5
9.92959e+3	3.02065e-5	2.97888e+4	3.01722e-5	4.96479e+4	3.01654e-5	6.95071e+4	3.01624e-5	8.93663e+4	3.01608e-5	1.09225e+5	3.01598e-5
9.75172e+3	3.02074e-5	2.92552e+4	3.01725e-5	4.87586e+4	3.01656e-5	6.82620e+4	3.01626e-5	8.77655e+4	3.01609e-5	1.07269e+5	3.01598e-5
9.57695e+3	3.02084e-5	2.87308e+4	3.01729e-5	4.78847e+4	3.01657e-5	6.70386e+4	3.01627e-5	8.61925e+4	3.01610e-5	1.05346e+5	3.01599e-5
9.40528e+3	3.02093e-5	2.82158e+4	3.01732e-5	4.70264e+4	3.01659e-5	6.58370e+4	3.01628e-5	8.46475e+4	3.01611e-5	1.03458e+5	3.01600e-5
9.23672e+3	3.02103e-5	2.77102e+4	3.01735e-5	4.61836e+4	3.01661e-5	6.46570e+4	3.01630e-5	8.31305e+4	3.01612e-5	1.01604e+5	3.01601e-5
9.07126e+3	3.02113e-5	2.72138e+4	3.01738e-5	4.53563e+4	3.01663e-5	6.34988e+4	3.01631e-5	8.16413e+4	3.01613e-5	9.97838e+4	3.01602e-5
