"Harmonic Energy (eV)"	"Harmonic: 1: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 3: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 5: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 7: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 9: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 11: spatial_profile-7.json"
1.86203e+4	1.28631e-6	5.58608e+4	7.42650e-7	9.31014e+4	5.75254e-7	1.30342e+5	4.86179e-7	1.67582e+5	4.28769e-7	2.04823e+5	3.87836e-7
1.85214e+4	1.28974e-6	5.55643e+4	7.44629e-7	9.26072e+4	5.76787e-7	1.29650e+5	4.87474e-7	1.66693e+5	4.29912e-7	2.03736e+5	3.88870e-7
1.84120e+4	1.29356e-6	5.52359e+4	7.46840e-7	9.20598e+4	5.78499e-7	1.28884e+5	4.88921e-7	1.65708e+5	4.31188e-7	2.02532e+5	3.90024e-7
1.82922e+4	1.29779e-6	5.48767e+4	7.49280e-7	9.14611e+4	5.80390e-7	1.28046e+5	4.90519e-7	1.64630e+5	4.32597e-7	2.01214e+5	3.91299e-7
1.81627e+4	1.30241e-6	5.44880e+4	7.51947e-7	9.08133e+4	5.82456e-7	1.27139e+5	4.92265e-7	1.63464e+5	4.34137e-7	1.99789e+5	3.92692e-7
1.80237e+4	1.30742e-6	5.40712e+4	7.54840e-7	9.01187e+4	5.84696e-7	1.26166e+5	4.94159e-7	1.62214e+5	4.35807e-7	1.98261e+5	3.94202e-7
1.78759e+4	1.31282e-6	5.36277e+4	7.57955e-7	8.93795e+4	5.87109e-7	1.25131e+5	4.96198e-7	1.60883e+5	4.37605e-7	1.96635e+5	3.95829e-7
1.77196e+4	1.31859e-6	5.31589e+4	7.61289e-7	8.85982e+4	5.89692e-7	1.24038e+5	4.98381e-7	1.59477e+5	4.39531e-7	1.94916e+5	3.97570e-7
1.75555e+4	1.32474e-6	5.26664e+4	7.64841e-7	8.77774e+4	5.92443e-7	1.22888e+5	5.00706e-7	1.57999e+5	4.41581e-7	1.93110e+5	3.99425e-7
1.73839e+4	1.33126e-6	5.21517e+4	7.68606e-7	8.69195e+4	5.95360e-7	1.21687e+5	5.03171e-7	1.56455e+5	4.43755e-7	1.91223e+5	4.01391e-7
1.72054e+4	1.33815e-6	5.16163e+4	7.72582e-7	8.60272e+4	5.98439e-7	1.20438e+5	5.05773e-7	1.54849e+5	4.46050e-7	1.89260e+5	4.03468e-7
1.70206e+4	1.34540e-6	5.10618e+4	7.76765e-7	8.51031e+4	6.01680e-7	1.19144e+5	5.08512e-7	1.53186e+5	4.48465e-7	1.87227e+5	4.05652e-7
1.68300e+4	1.35300e-6	5.04899e+4	7.81152e-7	8.41498e+4	6.05078e-7	1.17810e+5	5.11384e-7	1.51470e+5	4.50999e-7	1.85130e+5	4.07943e-7
1.66340e+4	1.36094e-6	4.99020e+4	7.85740e-7	8.31699e+4	6.08632e-7	1.16438e+5	5.14388e-7	1.49706e+5	4.53647e-7	1.82974e+5	4.10340e-7
