"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"	"Harmonic Energy (eV)"	"Harmonic: 9"	"Harmonic Energy (eV)"	"Harmonic: 11"
1.86203e+4	4.62902e-6	5.58608e+4	3.66273e-6	9.31014e+4	3.52265e-6	1.30342e+5	3.46842e-6	1.67582e+5	3.43961e-6	2.04823e+5	3.42175e-6
1.85214e+4	4.64026e-6	5.55643e+4	3.67111e-6	9.26072e+4	3.53061e-6	1.29650e+5	3.47621e-6	1.66693e+5	3.44731e-6	2.03736e+5	3.42939e-6
1.84120e+4	4.65400e-6	5.52359e+4	3.68047e-6	9.20598e+4	3.53949e-6	1.28884e+5	3.48491e-6	1.65708e+5	3.45592e-6	2.02532e+5	3.43794e-6
1.82922e+4	4.66667e-6	5.48767e+4	3.69081e-6	9.14611e+4	3.54931e-6	1.28046e+5	3.49452e-6	1.64630e+5	3.46542e-6	2.01214e+5	3.44737e-6
1.81627e+4	4.68304e-6	5.44880e+4	3.70211e-6	9.08133e+4	3.56005e-6	1.27139e+5	3.50503e-6	1.63464e+5	3.47582e-6	1.99789e+5	3.45769e-6
1.80237e+4	4.69826e-6	5.40712e+4	3.71438e-6	9.01187e+4	3.57169e-6	1.26166e+5	3.51644e-6	1.62214e+5	3.48709e-6	1.98261e+5	3.46889e-6
1.78759e+4	4.71597e-6	5.36277e+4	3.72760e-6	8.93795e+4	3.58425e-6	1.25131e+5	3.52873e-6	1.60883e+5	3.49925e-6	1.96635e+5	3.48096e-6
1.77196e+4	4.73620e-6	5.31589e+4	3.74266e-6	8.85982e+4	3.59769e-6	1.24038e+5	3.54190e-6	1.59477e+5	3.51226e-6	1.94916e+5	3.49388e-6
1.75555e+4	4.75513e-6	5.26664e+4	3.75776e-6	8.77774e+4	3.61202e-6	1.22888e+5	3.55593e-6	1.57999e+5	3.52614e-6	1.93110e+5	3.50766e-6
1.73839e+4	4.77786e-6	5.21517e+4	3.77378e-6	8.69195e+4	3.62722e-6	1.21687e+5	3.57081e-6	1.56455e+5	3.54086e-6	1.91223e+5	3.52227e-6
1.72054e+4	4.80052e-6	5.16163e+4	3.79071e-6	8.60272e+4	3.64328e-6	1.20438e+5	3.58655e-6	1.54849e+5	3.55641e-6	1.89260e+5	3.53772e-6
1.70206e+4	4.82437e-6	5.10618e+4	3.80853e-6	8.51031e+4	3.66019e-6	1.19144e+5	3.60311e-6	1.53186e+5	3.57279e-6	1.87227e+5	3.55398e-6
1.68300e+4	4.84939e-6	5.04899e+4	3.82723e-6	8.41498e+4	3.67794e-6	1.17810e+5	3.62050e-6	1.51470e+5	3.58998e-6	1.85130e+5	3.57105e-6
1.66340e+4	4.87556e-6	4.99020e+4	3.84681e-6	8.31699e+4	3.69652e-6	1.16438e+5	3.63869e-6	1.49706e+5	3.60797e-6	1.82974e+5	3.58892e-6
1.64332e+4	4.90288e-6	4.92997e+4	3.86724e-6	8.21661e+4	3.71591e-6	1.15033e+5	3.65769e-6	1.47899e+5	3.62676e-6	1.80765e+5	3.60757e-6
1.62282e+4	4.93131e-6	4.86845e+4	3.88852e-6	8.11408e+4	3.73611e-6	1.13597e+5	3.67747e-6	1.46053e+5	3.64632e-6	1.78510e+5	3.62699e-6
1.60193e+4	4.96085e-6	4.80580e+4	3.91062e-6	8.00966e+4	3.75709e-6	1.12135e+5	3.69802e-6	1.44174e+5	3.66664e-6	1.76212e+5	3.64717e-6
1.58072e+4	4.99146e-6	4.74215e+4	3.93354e-6	7.90358e+4	3.77885e-6	1.10650e+5	3.71933e-6	1.42264e+5	3.68772e-6	1.73879e+5	3.66810e-6
1.55922e+4	5.02314e-6	4.67765e+4	3.95726e-6	7.79609e+4	3.80137e-6	1.09145e+5	3.74139e-6	1.40330e+5	3.70953e-6	1.71514e+5	3.68977e-6
1.53748e+4	5.05584e-6	4.61244e+4	3.98177e-6	7.68740e+4	3.82463e-6	1.07624e+5	3.76419e-6	1.38373e+5	3.73207e-6	1.69123e+5	3.71215e-6
1.51555e+4	5.08957e-6	4.54665e+4	4.00705e-6	7.57775e+4	3.84864e-6	1.06089e+5	3.78770e-6	1.36400e+5	3.75533e-6	1.66711e+5	3.73525e-6
1.49347e+4	5.12431e-6	4.48040e+4	4.03309e-6	7.46734e+4	3.87336e-6	1.04543e+5	3.81193e-6	1.34412e+5	3.77929e-6	1.64281e+5	3.75904e-6
