"Harmonic Energy (eV)"	"Harmonic: 1: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 3: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 5: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 7: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 9: spatial_profile-8.json"	"Harmonic Energy (eV)"	"Harmonic: 11: spatial_profile-8.json"
1.86203e+4	4.34277e-6	5.58608e+4	2.74720e-6	9.31014e+4	2.29883e-6	1.30342e+5	2.07725e-6	1.67582e+5	1.94327e-6	2.04823e+5	1.85297e-6
1.85214e+4	4.35319e-6	5.55643e+4	2.75269e-6	9.26072e+4	2.30277e-6	1.29650e+5	2.08036e-6	1.66693e+5	1.94585e-6	2.03736e+5	1.85519e-6
1.84120e+4	4.36482e-6	5.52359e+4	2.75883e-6	9.20598e+4	2.30717e-6	1.28884e+5	2.08384e-6	1.65708e+5	1.94875e-6	2.02532e+5	1.85767e-6
1.82922e+4	4.37767e-6	5.48767e+4	2.76561e-6	9.14611e+4	2.31203e-6	1.28046e+5	2.08769e-6	1.64630e+5	1.95195e-6	2.01214e+5	1.86042e-6
1.81627e+4	4.39172e-6	5.44880e+4	2.77302e-6	9.08133e+4	2.31735e-6	1.27139e+5	2.09190e-6	1.63464e+5	1.95545e-6	1.99789e+5	1.86342e-6
1.80237e+4	4.40696e-6	5.40712e+4	2.78107e-6	9.01187e+4	2.32313e-6	1.26166e+5	2.09648e-6	1.62214e+5	1.95926e-6	1.98261e+5	1.86669e-6
1.78759e+4	4.42338e-6	5.36277e+4	2.78974e-6	8.93795e+4	2.32937e-6	1.25131e+5	2.10141e-6	1.60883e+5	1.96336e-6	1.96635e+5	1.87022e-6
1.77196e+4	4.44096e-6	5.31589e+4	2.79904e-6	8.85982e+4	2.33605e-6	1.24038e+5	2.10670e-6	1.59477e+5	1.96777e-6	1.94916e+5	1.87400e-6
1.75555e+4	4.45970e-6	5.26664e+4	2.80895e-6	8.77774e+4	2.34318e-6	1.22888e+5	2.11235e-6	1.57999e+5	1.97247e-6	1.93110e+5	1.87804e-6
1.73839e+4	4.47957e-6	5.21517e+4	2.81947e-6	8.69195e+4	2.35074e-6	1.21687e+5	2.11835e-6	1.56455e+5	1.97747e-6	1.91223e+5	1.88234e-6
1.72054e+4	4.50056e-6	5.16163e+4	2.83059e-6	8.60272e+4	2.35875e-6	1.20438e+5	2.12469e-6	1.54849e+5	1.98276e-6	1.89260e+5	1.88689e-6
1.70206e+4	4.52266e-6	5.10618e+4	2.84231e-6	8.51031e+4	2.36719e-6	1.19144e+5	2.13139e-6	1.53186e+5	1.98834e-6	1.87227e+5	1.89168e-6
1.68300e+4	4.54585e-6	5.04899e+4	2.85462e-6	8.41498e+4	2.37606e-6	1.17810e+5	2.13842e-6	1.51470e+5	1.99420e-6	1.85130e+5	1.89673e-6
1.66340e+4	4.57011e-6	4.99020e+4	2.86750e-6	8.31699e+4	2.38535e-6	1.16438e+5	2.14580e-6	1.49706e+5	2.00036e-6	1.82974e+5	1.90202e-6
1.64332e+4	4.59543e-6	4.92997e+4	2.88096e-6	8.21661e+4	2.39506e-6	1.15033e+5	2.15351e-6	1.47899e+5	2.00679e-6	1.80765e+5	1.90756e-6
1.62282e+4	4.62179e-6	4.86845e+4	2.89498e-6	8.11408e+4	2.40518e-6	1.13597e+5	2.16155e-6	1.46053e+5	2.01351e-6	1.78510e+5	1.91334e-6
1.60193e+4	4.64917e-6	4.80580e+4	2.90955e-6	8.00966e+4	2.41571e-6	1.12135e+5	2.16992e-6	1.44174e+5	2.02050e-6	1.76212e+5	1.91936e-6
1.58072e+4	4.67755e-6	4.74215e+4	2.92468e-6	7.90358e+4	2.42664e-6	1.10650e+5	2.17862e-6	1.42264e+5	2.02776e-6	1.73879e+5	1.92562e-6
1.55922e+4	4.70692e-6	4.67765e+4	2.94034e-6	7.79609e+4	2.43797e-6	1.09145e+5	2.18764e-6	1.40330e+5	2.03530e-6	1.71514e+5	1.93212e-6
1.53748e+4	4.73726e-6	4.61244e+4	2.95654e-6	7.68740e+4	2.44970e-6	1.07624e+5	2.19697e-6	1.38373e+5	2.04311e-6	1.69123e+5	1.93884e-6
1.51555e+4	4.76854e-6	4.54665e+4	2.97325e-6	7.57775e+4	2.46181e-6	1.06089e+5	2.20662e-6	1.36400e+5	2.05118e-6	1.66711e+5	1.94580e-6
1.49347e+4	4.80076e-6	4.48040e+4	2.99048e-6	7.46734e+4	2.47430e-6	1.04543e+5	2.21658e-6	1.34412e+5	2.05951e-6	1.64281e+5	1.95299e-6
1.47127e+4	4.83388e-6	4.41382e+4	3.00822e-6	7.35636e+4	2.48716e-6	1.02989e+5	2.22684e-6	1.32415e+5	2.06810e-6	1.61840e+5	1.96040e-6
1.44900e+4	4.86790e-6	4.34701e+4	3.02645e-6	7.24502e+4	2.50040e-6	1.01430e+5	2.23740e-6	1.30410e+5	2.07695e-6	1.59390e+5	1.96804e-6
