"Harmonic Energy (eV)"	"Harmonic: 1: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 3: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 5: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 7: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 9: spatial_profile-7.json"	"Harmonic Energy (eV)"	"Harmonic: 11: spatial_profile-7.json"
1.86203e+4	4.11932e-6	5.58608e+4	2.37829e-6	9.31014e+4	1.84222e-6	1.30342e+5	1.55696e-6	1.67582e+5	1.37311e-6	2.04823e+5	1.24202e-6
1.85214e+4	4.13030e-6	5.55643e+4	2.38463e-6	9.26072e+4	1.84713e-6	1.29650e+5	1.56111e-6	1.66693e+5	1.37677e-6	2.03736e+5	1.24533e-6
1.84120e+4	4.14256e-6	5.52359e+4	2.39171e-6	9.20598e+4	1.85261e-6	1.28884e+5	1.56574e-6	1.65708e+5	1.38085e-6	2.02532e+5	1.24903e-6
1.82922e+4	4.15609e-6	5.48767e+4	2.39952e-6	9.14611e+4	1.85866e-6	1.28046e+5	1.57086e-6	1.64630e+5	1.38536e-6	2.01214e+5	1.25311e-6
1.81627e+4	4.17089e-6	5.44880e+4	2.40807e-6	9.08133e+4	1.86528e-6	1.27139e+5	1.57645e-6	1.63464e+5	1.39030e-6	1.99789e+5	1.25757e-6
1.80237e+4	4.18694e-6	5.40712e+4	2.41733e-6	9.01187e+4	1.87245e-6	1.26166e+5	1.58251e-6	1.62214e+5	1.39565e-6	1.98261e+5	1.26241e-6
1.78759e+4	4.20421e-6	5.36277e+4	2.42730e-6	8.93795e+4	1.88018e-6	1.25131e+5	1.58904e-6	1.60883e+5	1.40140e-6	1.96635e+5	1.26762e-6
1.77196e+4	4.22271e-6	5.31589e+4	2.43798e-6	8.85982e+4	1.88845e-6	1.24038e+5	1.59603e-6	1.59477e+5	1.40757e-6	1.94916e+5	1.27319e-6
1.75555e+4	4.24241e-6	5.26664e+4	2.44936e-6	8.77774e+4	1.89726e-6	1.22888e+5	1.60348e-6	1.57999e+5	1.41414e-6	1.93110e+5	1.27913e-6
1.73839e+4	4.26329e-6	5.21517e+4	2.46141e-6	8.69195e+4	1.90660e-6	1.21687e+5	1.61137e-6	1.56455e+5	1.42110e-6	1.91223e+5	1.28543e-6
1.72054e+4	4.28535e-6	5.16163e+4	2.47415e-6	8.60272e+4	1.91646e-6	1.20438e+5	1.61971e-6	1.54849e+5	1.42845e-6	1.89260e+5	1.29208e-6
1.70206e+4	4.30855e-6	5.10618e+4	2.48754e-6	8.51031e+4	1.92684e-6	1.19144e+5	1.62848e-6	1.53186e+5	1.43618e-6	1.87227e+5	1.29908e-6
1.68300e+4	4.33288e-6	5.04899e+4	2.50159e-6	8.41498e+4	1.93773e-6	1.17810e+5	1.63768e-6	1.51470e+5	1.44429e-6	1.85130e+5	1.30641e-6
1.66340e+4	4.35833e-6	4.99020e+4	2.51629e-6	8.31699e+4	1.94911e-6	1.16438e+5	1.64730e-6	1.49706e+5	1.45278e-6	1.82974e+5	1.31409e-6
1.64332e+4	4.38488e-6	4.92997e+4	2.53161e-6	8.21661e+4	1.96098e-6	1.15033e+5	1.65733e-6	1.47899e+5	1.46163e-6	1.80765e+5	1.32209e-6
1.62282e+4	4.41249e-6	4.86845e+4	2.54755e-6	8.11408e+4	1.97333e-6	1.13597e+5	1.66777e-6	1.46053e+5	1.47083e-6	1.78510e+5	1.33042e-6
1.60193e+4	4.44116e-6	4.80580e+4	2.56411e-6	8.00966e+4	1.98615e-6	1.12135e+5	1.67860e-6	1.44174e+5	1.48039e-6	1.76212e+5	1.33906e-6
1.58072e+4	4.47087e-6	4.74215e+4	2.58126e-6	7.90358e+4	1.99943e-6	1.10650e+5	1.68983e-6	1.42264e+5	1.49029e-6	1.73879e+5	1.34802e-6
1.55922e+4	4.50158e-6	4.67765e+4	2.59899e-6	7.79609e+4	2.01317e-6	1.09145e+5	1.70144e-6	1.40330e+5	1.50053e-6	1.71514e+5	1.35728e-6
1.53748e+4	4.53329e-6	4.61244e+4	2.61730e-6	7.68740e+4	2.02735e-6	1.07624e+5	1.71342e-6	1.38373e+5	1.51110e-6	1.69123e+5	1.36684e-6
1.51555e+4	4.56598e-6	4.54665e+4	2.63617e-6	7.57775e+4	2.04197e-6	1.06089e+5	1.72578e-6	1.36400e+5	1.52199e-6	1.66711e+5	1.37669e-6
1.49347e+4	4.59961e-6	4.48040e+4	2.65558e-6	7.46734e+4	2.05701e-6	1.04543e+5	1.73849e-6	1.34412e+5	1.53320e-6	1.64281e+5	1.38683e-6
1.47127e+4	4.63417e-6	4.41382e+4	2.67554e-6	7.35636e+4	2.07246e-6	1.02989e+5	1.75155e-6	1.32415e+5	1.54472e-6	1.61840e+5	1.39726e-6
1.44900e+4	4.66964e-6	4.34701e+4	2.69602e-6	7.24502e+4	2.08833e-6	1.01430e+5	1.76496e-6	1.30410e+5	1.55655e-6	1.59390e+5	1.40795e-6
1.42670e+4	4.70601e-6	4.28010e+4	2.71701e-6	7.13349e+4	2.10459e-6	9.98689e+4	1.77870e-6	1.28403e+5	1.56867e-6	1.56937e+5	1.41891e-6
1.40439e+4	4.74324e-6	4.21317e+4	2.73851e-6	7.02195e+4	2.12124e-6	9.83072e+4	1.79278e-6	1.26395e+5	1.58108e-6	1.54483e+5	1.43014e-6
1.38211e+4	4.78132e-6	4.14633e+4	2.76050e-6	6.91054e+4	2.13827e-6	9.67476e+4	1.80717e-6	1.24390e+5	1.59377e-6	1.52032e+5	1.44162e-6
1.35989e+4	4.82023e-6	4.07966e+4	2.78296e-6	6.79943e+4	2.15567e-6	9.51920e+4	1.82187e-6	1.22390e+5	1.60674e-6	1.49587e+5	1.45335e-6
1.33775e+4	4.85994e-6	4.01325e+4	2.80589e-6	6.68875e+4	2.17343e-6	9.36425e+4	1.83689e-6	1.20398e+5	1.61998e-6	1.47153e+5	1.46533e-6
1.31573e+4	4.90045e-6	3.94718e+4	2.82928e-6	6.57863e+4	2.19155e-6	9.21009e+4	1.85220e-6	1.18415e+5	1.63348e-6	1.44730e+5	1.47754e-6
1.29384e+4	4.94172e-6	3.88152e+4	2.85311e-6	6.46920e+4	2.21001e-6	9.05688e+4	1.86780e-6	1.16446e+5	1.64724e-6	1.42322e+5	1.48999e-6
1.27211e+4	4.98375e-6	3.81633e+4	2.87737e-6	6.36056e+4	2.22880e-6	8.90478e+4	1.88368e-6	1.14490e+5	1.66125e-6	1.39932e+5	1.50266e-6
1.25056e+4	5.02651e-6	3.75168e+4	2.90205e-6	6.25281e+4	2.24792e-6	8.75393e+4	1.89984e-6	1.12551e+5	1.67550e-6	1.37562e+5	1.51555e-6
1.22921e+4	5.06998e-6	3.68763e+4	2.92715e-6	6.14604e+4	2.26736e-6	8.60446e+4	1.91627e-6	1.10629e+5	1.68999e-6	1.35213e+5	1.52866e-6
1.20807e+4	5.11414e-6	3.62421e+4	2.95265e-6	6.04035e+4	2.28711e-6	8.45649e+4	1.93296e-6	1.08726e+5	1.70471e-6	1.32888e+5	1.54197e-6
1.18716e+4	5.15898e-6	3.56148e+4	2.97854e-6	5.93580e+4	2.30717e-6	8.31012e+4	1.94991e-6	1.06844e+5	1.71966e-6	1.30588e+5	1.55549e-6
1.16649e+4	5.20448e-6	3.49948e+4	3.00481e-6	5.83247e+4	2.32752e-6	8.16545e+4	1.96711e-6	1.04984e+5	1.73483e-6	1.28314e+5	1.56921e-6
1.14608e+4	5.25063e-6	3.43824e+4	3.03145e-6	5.73040e+4	2.34815e-6	8.02256e+4	1.98455e-6	1.03147e+5	1.75021e-6	1.26069e+5	1.58312e-6
1.12593e+4	5.29739e-6	3.37780e+4	3.05845e-6	5.62967e+4	2.36907e-6	7.88153e+4	2.00223e-6	1.01334e+5	1.76580e-6	1.23853e+5	1.59722e-6
1.10606e+4	5.34477e-6	3.31818e+4	3.08581e-6	5.53030e+4	2.39026e-6	7.74242e+4	2.02013e-6	9.95454e+4	1.78159e-6	1.21667e+5	1.61151e-6
1.08647e+4	5.39274e-6	3.25941e+4	3.11350e-6	5.43235e+4	2.41171e-6	7.60529e+4	2.03827e-6	9.77823e+4	1.79758e-6	1.19512e+5	1.62597e-6
1.06717e+4	5.44129e-6	3.20151e+4	3.14153e-6	5.33584e+4	2.43342e-6	7.47018e+4	2.05662e-6	9.60452e+4	1.81376e-6	1.17389e+5	1.64061e-6
1.04816e+4	5.49040e-6	3.14449e+4	3.16989e-6	5.24082e+4	2.45538e-6	7.33714e+4	2.07518e-6	9.43347e+4	1.83013e-6	1.15298e+5	1.65542e-6
1.02946e+4	5.54006e-6	3.08837e+4	3.19856e-6	5.14729e+4	2.47759e-6	7.20620e+4	2.09395e-6	9.26511e+4	1.84669e-6	1.13240e+5	1.67039e-6
1.01105e+4	5.59025e-6	3.03316e+4	3.22753e-6	5.05527e+4	2.50004e-6	7.07738e+4	2.11292e-6	9.09949e+4	1.86342e-6	1.11216e+5	1.68552e-6
9.92959e+3	5.64096e-6	2.97888e+4	3.25681e-6	4.96479e+4	2.52271e-6	6.95071e+4	2.13208e-6	8.93663e+4	1.88032e-6	1.09225e+5	1.70081e-6
9.75172e+3	5.69217e-6	2.92552e+4	3.28638e-6	4.87586e+4	2.54562e-6	6.82620e+4	2.15144e-6	8.77655e+4	1.89739e-6	1.07269e+5	1.71625e-6
9.57695e+3	5.74388e-6	2.87308e+4	3.31623e-6	4.78847e+4	2.56874e-6	6.70386e+4	2.17098e-6	8.61925e+4	1.91463e-6	1.05346e+5	1.73184e-6
9.40528e+3	5.79606e-6	2.82158e+4	3.34636e-6	4.70264e+4	2.59208e-6	6.58370e+4	2.19070e-6	8.46475e+4	1.93202e-6	1.03458e+5	1.74758e-6
9.23672e+3	5.84871e-6	2.77102e+4	3.37675e-6	4.61836e+4	2.61562e-6	6.46570e+4	2.21060e-6	8.31305e+4	1.94957e-6	1.01604e+5	1.76345e-6
9.07126e+3	5.90181e-6	2.72138e+4	3.40741e-6	4.53563e+4	2.63937e-6	6.34988e+4	2.23067e-6	8.16413e+4	1.96727e-6	9.97838e+4	1.77946e-6
