"Harmonic Energy (eV)"	"Harmonic: 1: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 3: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 5: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 7: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 9: spatial_profile-9.json"	"Harmonic Energy (eV)"	"Harmonic: 11: spatial_profile-9.json"
1.86203e+4	3.85748e-6	5.58608e+4	3.71175e-6	9.31014e+4	3.68191e-6	1.30342e+5	3.66905e-6	1.67582e+5	3.66188e-6	2.04823e+5	3.65732e-6
1.85214e+4	3.85862e-6	5.55643e+4	3.71214e-6	9.26072e+4	3.68215e-6	1.29650e+5	3.66922e-6	1.66693e+5	3.66202e-6	2.03736e+5	3.65743e-6
1.84120e+4	3.85990e-6	5.52359e+4	3.71259e-6	9.20598e+4	3.68242e-6	1.28884e+5	3.66941e-6	1.65708e+5	3.66217e-6	2.02532e+5	3.65755e-6
1.82922e+4	3.86132e-6	5.48767e+4	3.71308e-6	9.14611e+4	3.68272e-6	1.28046e+5	3.66963e-6	1.64630e+5	3.66233e-6	2.01214e+5	3.65768e-6
1.81627e+4	3.86288e-6	5.44880e+4	3.71362e-6	9.08133e+4	3.68304e-6	1.27139e+5	3.66986e-6	1.63464e+5	3.66251e-6	1.99789e+5	3.65783e-6
1.80237e+4	3.86457e-6	5.40712e+4	3.71421e-6	9.01187e+4	3.68340e-6	1.26166e+5	3.67011e-6	1.62214e+5	3.66271e-6	1.98261e+5	3.65800e-6
1.78759e+4	3.86640e-6	5.36277e+4	3.71484e-6	8.93795e+4	3.68378e-6	1.25131e+5	3.67039e-6	1.60883e+5	3.66293e-6	1.96635e+5	3.65817e-6
1.77196e+4	3.86836e-6	5.31589e+4	3.71552e-6	8.85982e+4	3.68419e-6	1.24038e+5	3.67068e-6	1.59477e+5	3.66316e-6	1.94916e+5	3.65836e-6
1.75555e+4	3.87046e-6	5.26664e+4	3.71625e-6	8.77774e+4	3.68463e-6	1.22888e+5	3.67100e-6	1.57999e+5	3.66340e-6	1.93110e+5	3.65856e-6
1.73839e+4	3.87270e-6	5.21517e+4	3.71703e-6	8.69195e+4	3.68510e-6	1.21687e+5	3.67134e-6	1.56455e+5	3.66367e-6	1.91223e+5	3.65878e-6
1.72054e+4	3.87507e-6	5.16163e+4	3.71785e-6	8.60272e+4	3.68560e-6	1.20438e+5	3.67170e-6	1.54849e+5	3.66395e-6	1.89260e+5	3.65901e-6
1.70206e+4	3.87758e-6	5.10618e+4	3.71872e-6	8.51031e+4	3.68613e-6	1.19144e+5	3.67207e-6	1.53186e+5	3.66424e-6	1.87227e+5	3.65925e-6
1.68300e+4	3.88022e-6	5.04899e+4	3.71964e-6	8.41498e+4	3.68669e-6	1.17810e+5	3.67247e-6	1.51470e+5	3.66455e-6	1.85130e+5	3.65950e-6
1.66340e+4	3.88300e-6	4.99020e+4	3.72061e-6	8.31699e+4	3.68727e-6	1.16438e+5	3.67289e-6	1.49706e+5	3.66488e-6	1.82974e+5	3.65977e-6
1.64332e+4	3.88591e-6	4.92997e+4	3.72162e-6	8.21661e+4	3.68789e-6	1.15033e+5	3.67333e-6	1.47899e+5	3.66522e-6	1.80765e+5	3.66005e-6
1.62282e+4	3.88896e-6	4.86845e+4	3.72268e-6	8.11408e+4	3.68853e-6	1.13597e+5	3.67379e-6	1.46053e+5	3.66558e-6	1.78510e+5	3.66035e-6
1.60193e+4	3.89214e-6	4.80580e+4	3.72379e-6	8.00966e+4	3.68920e-6	1.12135e+5	3.67427e-6	1.44174e+5	3.66596e-6	1.76212e+5	3.66065e-6
1.58072e+4	3.89546e-6	4.74215e+4	3.72495e-6	7.90358e+4	3.68990e-6	1.10650e+5	3.67478e-6	1.42264e+5	3.66635e-6	1.73879e+5	3.66097e-6
1.55922e+4	3.89890e-6	4.67765e+4	3.72615e-6	7.79609e+4	3.69063e-6	1.09145e+5	3.67530e-6	1.40330e+5	3.66675e-6	1.71514e+5	3.66131e-6
1.53748e+4	3.90249e-6	4.61244e+4	3.72740e-6	7.68740e+4	3.69138e-6	1.07624e+5	3.67584e-6	1.38373e+5	3.66718e-6	1.69123e+5	3.66165e-6
1.51555e+4	3.90620e-6	4.54665e+4	3.72869e-6	7.57775e+4	3.69217e-6	1.06089e+5	3.67640e-6	1.36400e+5	3.66762e-6	1.66711e+5	3.66201e-6
1.49347e+4	3.91004e-6	4.48040e+4	3.73004e-6	7.46734e+4	3.69298e-6	1.04543e+5	3.67699e-6	1.34412e+5	3.66807e-6	1.64281e+5	3.66239e-6
1.47127e+4	3.91402e-6	4.41382e+4	3.73143e-6	7.35636e+4	3.69383e-6	1.02989e+5	3.67759e-6	1.32415e+5	3.66854e-6	1.61840e+5	3.66277e-6
1.44900e+4	3.91813e-6	4.34701e+4	3.73286e-6	7.24502e+4	3.69470e-6	1.01430e+5	3.67822e-6	1.30410e+5	3.66903e-6	1.59390e+5	3.66317e-6
1.42670e+4	3.92237e-6	4.28010e+4	3.73435e-6	7.13349e+4	3.69560e-6	9.98689e+4	3.67886e-6	1.28403e+5	3.66953e-6	1.56937e+5	3.66358e-6
1.40439e+4	3.92674e-6	4.21317e+4	3.73588e-6	7.02195e+4	3.69652e-6	9.83072e+4	3.67953e-6	1.26395e+5	3.67005e-6	1.54483e+5	3.66401e-6
1.38211e+4	3.93124e-6	4.14633e+4	3.73746e-6	6.91054e+4	3.69748e-6	9.67476e+4	3.68022e-6	1.24390e+5	3.67059e-6	1.52032e+5	3.66445e-6
1.35989e+4	3.93587e-6	4.07966e+4	3.73908e-6	6.79943e+4	3.69847e-6	9.51920e+4	3.68092e-6	1.22390e+5	3.67114e-6	1.49587e+5	3.66490e-6
1.33775e+4	3.94063e-6	4.01325e+4	3.74075e-6	6.68875e+4	3.69948e-6	9.36425e+4	3.68165e-6	1.20398e+5	3.67171e-6	1.47153e+5	3.66537e-6
