Photon energy [eV],Photons/s/0.1%bw
9.600000000000000000e+03,2.672451994154295703e+13
9.608571428571429351e+03,2.782478223780937109e+13
9.617142857142856883e+03,2.805840731806420312e+13
9.625714285714286234e+03,2.783144311459348828e+13
9.634285714285713766e+03,2.789209579977920312e+13
9.642857142857143117e+03,2.914152163037699609e+13
9.651428571428570649e+03,3.234507184946224219e+13
9.660000000000000000e+03,3.783087742868778906e+13
9.668571428571429351e+03,4.527258175347085156e+13
9.677142857142856883e+03,5.365857370212683594e+13
9.685714285714286234e+03,6.150458861426440625e+13
9.694285714285713766e+03,6.731010603129158594e+13
9.702857142857143117e+03,7.018866755125151562e+13
9.711428571428570649e+03,7.052411058191618750e+13
9.720000000000000000e+03,7.049545987378129688e+13
9.728571428571429351e+03,7.428398048159781250e+13
9.737142857142856883e+03,8.785531793802179688e+13
9.745714285714286234e+03,1.182698126945348750e+14
9.754285714285713766e+03,1.726041606519653750e+14
9.762857142857143117e+03,2.566514900002017812e+14
9.771428571428570649e+03,3.736422969071155625e+14
9.780000000000000000e+03,5.232541064542260000e+14
9.788571428571429351e+03,7.011514684412871250e+14
9.797142857142856883e+03,8.991802955116250000e+14
9.805714285714286234e+03,1.106246403927430875e+15
9.814285714285713766e+03,1.309743825955659750e+15
9.822857142857143117e+03,1.497319890733994750e+15
9.831428571428570649e+03,1.658639897576908750e+15
9.840000000000000000e+03,1.786842277209356500e+15
9.848571428571429351e+03,1.879419468891595000e+15
9.857142857142856883e+03,1.938341579985117500e+15
9.865714285714286234e+03,1.969430788550251750e+15
9.874285714285713766e+03,1.981053735393298250e+15
9.882857142857143117e+03,1.982430667122063500e+15
9.891428571428570649e+03,1.981810908365701750e+15
9.900000000000000000e+03,1.984876820480443250e+15
9.908571428571429351e+03,1.993683448189185500e+15
9.917142857142856883e+03,2.006249379002862000e+15
9.925714285714286234e+03,2.016914505345332000e+15
9.934285714285713766e+03,2.017426085942894000e+15
9.942857142857143117e+03,1.998435233192355250e+15
9.951428571428570649e+03,1.951273287980928000e+15
9.960000000000000000e+03,1.869642239822483250e+15
9.968571428571429351e+03,1.750861419213413250e+15
9.977142857142856883e+03,1.596606415961600000e+15
9.985714285714286234e+03,1.412868826925611500e+15
9.994285714285713766e+03,1.209266570387223750e+15
1.000285714285714312e+04,9.977694815834021250e+14
1.001142857142857065e+04,7.910713269291952500e+14
1.002000000000000000e+04,6.009041338409556250e+14
1.002857142857142935e+04,4.365794574942860000e+14
1.003714285714285688e+04,3.039303946868042500e+14
1.004571428571428623e+04,2.048881453617226250e+14
1.005428571428571377e+04,1.376624939536000000e+14
1.006285714285714312e+04,9.747943650393187500e+13
1.007142857142857065e+04,7.769242083332503125e+13
1.008000000000000000e+04,7.104933145313025000e+13
1.008857142857142935e+04,7.087123596878962500e+13
1.009714285714285688e+04,7.194138285082389062e+13
1.010571428571428623e+04,7.098746692945792188e+13
1.011428571428571377e+04,6.671238299170967969e+13
1.012285714285714312e+04,5.945134833206053125e+13
1.013142857142857065e+04,5.057370344298543750e+13
1.014000000000000000e+04,4.180650389118426562e+13
1.014857142857142935e+04,3.463354759229514062e+13
1.015714285714285688e+04,2.990590658295148047e+13
1.016571428571428623e+04,2.769887194835630078e+13
1.017428571428571377e+04,2.742363170903381641e+13
1.018285714285714312e+04,2.809862609402414062e+13
1.019142857142857065e+04,2.869879041452069922e+13
1.020000000000000000e+04,2.845451698564312891e+13
