26: Photon Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}\Vert^2+\Vert\mathbf{E_{\pi}}\Vert^2$
9.600158498962746307e+03,4.700000000000000000e+01
9.606097342163166104e+03,4.700000000000000000e+01
9.606097342163166104e+03,3.000000000000000000e+01
9.612036185363585901e+03,3.000000000000000000e+01
9.612036185363587720e+03,3.700000000000000000e+01
9.617975028564007516e+03,3.700000000000000000e+01
9.617975028564007516e+03,5.300000000000000000e+01
9.623913871764427313e+03,5.300000000000000000e+01
9.623913871764427313e+03,3.400000000000000000e+01
9.629852714964847110e+03,3.400000000000000000e+01
9.629852714964848929e+03,4.500000000000000000e+01
9.635791558165268725e+03,4.500000000000000000e+01
9.635791558165268725e+03,3.700000000000000000e+01
9.641730401365688522e+03,3.700000000000000000e+01
9.641730401365688522e+03,5.300000000000000000e+01
9.647669244566108318e+03,5.300000000000000000e+01
9.647669244566110137e+03,4.000000000000000000e+01
9.653608087766529934e+03,4.000000000000000000e+01
9.653608087766529934e+03,6.600000000000000000e+01
9.659546930966949731e+03,6.600000000000000000e+01
9.659546930966949731e+03,7.100000000000000000e+01
9.665485774167369527e+03,7.100000000000000000e+01
9.665485774167371346e+03,7.600000000000000000e+01
9.671424617367791143e+03,7.600000000000000000e+01
9.671424617367791143e+03,9.000000000000000000e+01
9.677363460568210940e+03,9.000000000000000000e+01
9.677363460568212759e+03,9.500000000000000000e+01
9.683302303768632555e+03,9.500000000000000000e+01
9.683302303768632555e+03,7.700000000000000000e+01
9.689241146969052352e+03,7.700000000000000000e+01
9.689241146969052352e+03,1.120000000000000000e+02
9.695179990169472148e+03,1.120000000000000000e+02
9.695179990169473967e+03,1.070000000000000000e+02
9.701118833369893764e+03,1.070000000000000000e+02
9.701118833369893764e+03,1.090000000000000000e+02
9.707057676570313561e+03,1.090000000000000000e+02
9.707057676570313561e+03,1.080000000000000000e+02
9.712996519770733357e+03,1.080000000000000000e+02
9.712996519770735176e+03,8.900000000000000000e+01
9.718935362971154973e+03,8.900000000000000000e+01
9.718935362971154973e+03,1.070000000000000000e+02
9.724874206171574770e+03,1.070000000000000000e+02
9.724874206171574770e+03,1.120000000000000000e+02
9.730813049371994566e+03,1.120000000000000000e+02
9.730813049371996385e+03,1.230000000000000000e+02
9.736751892572416182e+03,1.230000000000000000e+02
9.736751892572416182e+03,1.730000000000000000e+02
9.742690735772835978e+03,1.730000000000000000e+02
9.742690735772835978e+03,1.980000000000000000e+02
9.748629578973255775e+03,1.980000000000000000e+02
9.748629578973257594e+03,2.960000000000000000e+02
9.754568422173677391e+03,2.960000000000000000e+02
9.754568422173677391e+03,3.710000000000000000e+02
9.760507265374097187e+03,3.710000000000000000e+02
9.760507265374097187e+03,4.730000000000000000e+02
9.766446108574516984e+03,4.730000000000000000e+02
9.766446108574518803e+03,5.710000000000000000e+02
9.772384951774938600e+03,5.710000000000000000e+02
9.772384951774938600e+03,7.580000000000000000e+02
9.778323794975358396e+03,7.580000000000000000e+02
9.778323794975358396e+03,8.790000000000000000e+02
9.784262638175778193e+03,8.790000000000000000e+02
9.784262638175780012e+03,1.085000000000000000e+03
9.790201481376199808e+03,1.085000000000000000e+03
9.790201481376199808e+03,1.336000000000000000e+03
9.796140324576619605e+03,1.336000000000000000e+03
9.796140324576619605e+03,1.517000000000000000e+03
9.802079167777039402e+03,1.517000000000000000e+03
9.802079167777041221e+03,1.658000000000000000e+03
9.808018010977461017e+03,1.658000000000000000e+03
9.808018010977461017e+03,2.000000000000000000e+03
9.813956854177880814e+03,2.000000000000000000e+03
9.813956854177880814e+03,2.077000000000000000e+03
9.819895697378300611e+03,2.077000000000000000e+03
9.819895697378302430e+03,2.142000000000000000e+03
9.825834540578722226e+03,2.142000000000000000e+03
9.825834540578722226e+03,2.361000000000000000e+03
9.831773383779142023e+03,2.361000000000000000e+03
9.831773383779143842e+03,2.542000000000000000e+03
9.837712226979563638e+03,2.542000000000000000e+03
9.837712226979563638e+03,2.566000000000000000e+03
9.843651070179983435e+03,2.566000000000000000e+03
9.843651070179983435e+03,2.751000000000000000e+03
9.849589913380403232e+03,2.751000000000000000e+03
9.849589913380405051e+03,2.599000000000000000e+03
9.855528756580824847e+03,2.599000000000000000e+03
9.855528756580824847e+03,2.692000000000000000e+03
