26: Photon Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}\Vert^2+\Vert\mathbf{E_{\pi}}\Vert^2$
2.940052028545525900e+04,2.200000000000000000e+01
2.941041556823990322e+04,2.200000000000000000e+01
2.941041556823990322e+04,2.600000000000000000e+01
2.942031085102454745e+04,2.600000000000000000e+01
2.942031085102455108e+04,2.000000000000000000e+01
2.943020613380919531e+04,2.000000000000000000e+01
2.943020613380919531e+04,1.700000000000000000e+01
2.944010141659383953e+04,1.700000000000000000e+01
2.944010141659383953e+04,1.700000000000000000e+01
2.944999669937848375e+04,1.700000000000000000e+01
2.944999669937848375e+04,2.300000000000000000e+01
2.945989198216312798e+04,2.300000000000000000e+01
2.945989198216313162e+04,3.600000000000000000e+01
2.946978726494777584e+04,3.600000000000000000e+01
2.946978726494777584e+04,2.700000000000000355e+01
2.947968254773242006e+04,2.700000000000000355e+01
2.947968254773242006e+04,2.000000000000000000e+01
2.948957783051706429e+04,2.000000000000000000e+01
2.948957783051706792e+04,3.400000000000000000e+01
2.949947311330171215e+04,3.400000000000000000e+01
2.949947311330171215e+04,2.800000000000000000e+01
2.950936839608635637e+04,2.800000000000000000e+01
2.950936839608635637e+04,4.100000000000000000e+01
2.951926367887100059e+04,4.100000000000000000e+01
2.951926367887100423e+04,3.700000000000000000e+01
2.952915896165564845e+04,3.700000000000000000e+01
2.952915896165564845e+04,2.800000000000000000e+01
2.953905424444029268e+04,2.800000000000000000e+01
2.953905424444029268e+04,3.500000000000000000e+01
2.954894952722493690e+04,3.500000000000000000e+01
2.954894952722493690e+04,5.300000000000000000e+01
2.955884481000958112e+04,5.300000000000000000e+01
2.955884481000958476e+04,4.100000000000000000e+01
2.956874009279422899e+04,4.100000000000000000e+01
2.956874009279422899e+04,4.700000000000000000e+01
2.957863537557887321e+04,4.700000000000000000e+01
2.957863537557887321e+04,6.500000000000000000e+01
2.958853065836351743e+04,6.500000000000000000e+01
2.958853065836352107e+04,6.200000000000000000e+01
2.959842594114816529e+04,6.200000000000000000e+01
2.959842594114816529e+04,6.800000000000000000e+01
2.960832122393280952e+04,6.800000000000000000e+01
2.960832122393280952e+04,6.400000000000000000e+01
2.961821650671745374e+04,6.400000000000000000e+01
2.961821650671745738e+04,4.400000000000000000e+01
2.962811178950210160e+04,4.400000000000000000e+01
2.962811178950210160e+04,8.300000000000000000e+01
2.963800707228674582e+04,8.300000000000000000e+01
2.963800707228674582e+04,7.000000000000000000e+01
2.964790235507139005e+04,7.000000000000000000e+01
2.964790235507139005e+04,9.300000000000000000e+01
2.965779763785603427e+04,9.300000000000000000e+01
2.965779763785603791e+04,1.090000000000000000e+02
2.966769292064068213e+04,1.090000000000000000e+02
2.966769292064068213e+04,1.070000000000000000e+02
2.967758820342532636e+04,1.070000000000000000e+02
2.967758820342532636e+04,1.350000000000000000e+02
2.968748348620997058e+04,1.350000000000000000e+02
2.968748348620997422e+04,1.540000000000000000e+02
2.969737876899461844e+04,1.540000000000000000e+02
2.969737876899461844e+04,1.670000000000000000e+02
2.970727405177926266e+04,1.670000000000000000e+02
2.970727405177926266e+04,1.660000000000000000e+02
2.971716933456390689e+04,1.660000000000000000e+02
2.971716933456390689e+04,1.510000000000000000e+02
2.972706461734855111e+04,1.510000000000000000e+02
2.972706461734855475e+04,2.100000000000000000e+02
2.973695990013319897e+04,2.100000000000000000e+02
2.973695990013319897e+04,2.810000000000000000e+02
2.974685518291784319e+04,2.810000000000000000e+02
2.974685518291784319e+04,3.800000000000000000e+02
2.975675046570248742e+04,3.800000000000000000e+02
2.975675046570249106e+04,5.900000000000000000e+02
2.976664574848713528e+04,5.900000000000000000e+02
2.976664574848713528e+04,9.020000000000000000e+02
2.977654103127177950e+04,9.020000000000000000e+02
2.977654103127177950e+04,1.265000000000000000e+03
2.978643631405642373e+04,1.265000000000000000e+03
2.978643631405642736e+04,1.801000000000000000e+03
2.979633159684107159e+04,1.801000000000000000e+03
2.979633159684107159e+04,2.343000000000000000e+03
2.980622687962571581e+04,2.343000000000000000e+03
2.980622687962571581e+04,2.904000000000000000e+03
2.981612216241036003e+04,2.904000000000000000e+03
2.981612216241036003e+04,3.365000000000000000e+03
2.982601744519500426e+04,3.365000000000000000e+03
2.982601744519500789e+04,3.700000000000000000e+03
2.983591272797965212e+04,3.700000000000000000e+03
2.983591272797965212e+04,4.162000000000000000e+03
2.984580801076429634e+04,4.162000000000000000e+03
2.984580801076429634e+04,4.345000000000000000e+03
2.985570329354894056e+04,4.345000000000000000e+03
2.985570329354894420e+04,4.422000000000000000e+03
2.986559857633358843e+04,4.422000000000000000e+03
2.986559857633358843e+04,4.638000000000000000e+03
2.987549385911823265e+04,4.638000000000000000e+03
2.987549385911823265e+04,4.565000000000000000e+03
2.988538914190287687e+04,4.565000000000000000e+03
2.988538914190288051e+04,4.676000000000000000e+03
2.989528442468752473e+04,4.676000000000000000e+03
2.989528442468752473e+04,4.659000000000000000e+03
2.990517970747216896e+04,4.659000000000000000e+03
2.990517970747216896e+04,4.730000000000000000e+03
2.991507499025681318e+04,4.730000000000000000e+03
2.991507499025681318e+04,4.822000000000000000e+03
2.992497027304145740e+04,4.822000000000000000e+03
2.992497027304146104e+04,4.833000000000000000e+03
2.993486555582610526e+04,4.833000000000000000e+03
2.993486555582610526e+04,4.867000000000000000e+03
2.994476083861074949e+04,4.867000000000000000e+03
2.994476083861074949e+04,4.545000000000000000e+03
2.995465612139539371e+04,4.545000000000000000e+03
2.995465612139539735e+04,4.439000000000000000e+03
2.996455140418004157e+04,4.439000000000000000e+03
2.996455140418004157e+04,4.004000000000000000e+03
2.997444668696468580e+04,4.004000000000000000e+03
2.997444668696468580e+04,3.539000000000000000e+03
2.998434196974933002e+04,3.539000000000000000e+03
2.998434196974933002e+04,3.038000000000000000e+03
2.999423725253397424e+04,3.038000000000000000e+03
2.999423725253397788e+04,2.398000000000000000e+03
3.000413253531862210e+04,2.398000000000000000e+03
3.000413253531862210e+04,1.800000000000000000e+03
3.001402781810326633e+04,1.800000000000000000e+03
3.001402781810326633e+04,1.311000000000000000e+03
3.002392310088791055e+04,1.311000000000000000e+03
3.002392310088791419e+04,9.010000000000000000e+02
3.003381838367255841e+04,9.010000000000000000e+02
3.003381838367255841e+04,5.620000000000000000e+02
3.004371366645720263e+04,5.620000000000000000e+02
3.004371366645720263e+04,3.940000000000000000e+02
3.005360894924184686e+04,3.940000000000000000e+02
3.005360894924185050e+04,2.500000000000000000e+02
3.006350423202649472e+04,2.500000000000000000e+02
3.006350423202649472e+04,1.730000000000000000e+02
3.007339951481113894e+04,1.730000000000000000e+02
3.007339951481113894e+04,1.730000000000000000e+02
3.008329479759578317e+04,1.730000000000000000e+02
3.008329479759578680e+04,1.670000000000000000e+02
3.009319008038043103e+04,1.670000000000000000e+02
3.009319008038043103e+04,1.640000000000000000e+02
3.010308536316507525e+04,1.640000000000000000e+02
3.010308536316507525e+04,1.740000000000000000e+02
3.011298064594971947e+04,1.740000000000000000e+02
3.011298064594971947e+04,1.230000000000000000e+02
3.012287592873436370e+04,1.230000000000000000e+02
3.012287592873436733e+04,1.180000000000000000e+02
3.013277121151901156e+04,1.180000000000000000e+02
3.013277121151901156e+04,9.100000000000000000e+01
3.014266649430365578e+04,9.100000000000000000e+01
3.014266649430365578e+04,7.900000000000000000e+01
3.015256177708830000e+04,7.900000000000000000e+01
3.015256177708830364e+04,6.900000000000000000e+01
3.016245705987294787e+04,6.900000000000000000e+01
3.016245705987294787e+04,8.000000000000000000e+01
3.017235234265759209e+04,8.000000000000000000e+01
3.017235234265759209e+04,6.800000000000000000e+01
3.018224762544223631e+04,6.800000000000000000e+01
3.018224762544223631e+04,6.400000000000000000e+01
3.019214290822688054e+04,6.400000000000000000e+01
3.019214290822688417e+04,7.200000000000000000e+01
3.020203819101152840e+04,7.200000000000000000e+01
3.020203819101152840e+04,6.100000000000000000e+01
3.021193347379617262e+04,6.100000000000000000e+01
3.021193347379617262e+04,5.100000000000000000e+01
