Photon Energy 0,hor_div 0,Photon Energy 1,hor_div 1,Photon Energy 3,hor_div 3,Photon Energy 5,hor_div 5,Photon Energy 7,hor_div 7,Photon Energy 9,hor_div 9,Photon Energy 11,hor_div 11
9068.338360056176,7.1875257518075995e-06,9068.338360056176,7.5339226887030315e-06,27205.015080168527,6.440637120093548e-06,45341.69180028088,6.289092399401412e-06,63478.368520393225,6.230890565940901e-06,81615.04524050558,6.200092934808101e-06,99751.72196061793,6.181032309245336e-06
13063.332465264404,6.457338469650285e-06,9263.275887986865,7.48111456635242e-06,27789.827663960594,6.403936804907441e-06,46316.379439934324,6.254748596632265e-06,64842.93121590805,6.1974614643002236e-06,83369.48299188178,6.167150102880103e-06,101896.03476785551,6.148391224045447e-06
17058.326570472633,6.033295069842408e-06,9458.213415917553,7.4301308099850354e-06,28374.64024775266,6.368550711729126e-06,47291.067079587774,6.221642456413507e-06,66207.49391142288,6.165240133613311e-06,85123.92074325799,6.135399109158793e-06,104040.3475750931,6.116932075262201e-06
21053.32067568086,5.754493107656281e-06,9653.150943848243,7.380875087484836e-06,28959.452831544728,6.334407944229407e-06,48265.75471924122,6.189706933712864e-06,67572.0566069377,6.134161036518303e-06,86878.35849463419,6.104775220901461e-06,106184.66038233067,6.0865906305697825e-06
25048.31478088909,5.556622809565142e-06,9848.088471778932,7.333257900068162e-06,29544.265415336795,6.3014427006477335e-06,49240.44235889467,6.158879814554679e-06,68936.61930245253,6.104163363469365e-06,88632.79624601039,6.0752183780600405e-06,108328.97318956825,6.05730729604636e-06
29043.30888609732,5.40866408674513e-06,10043.025999709622,7.287195976367411e-06,30129.077999128865,6.269593818397072e-06,50215.12999854811,6.129103283388257e-06,70301.18199796735,6.075190609022619e-06,90387.23399738659,6.0466727743282835e-06,110473.28599680583,6.0290267001832396e-06
33038.30299130555,5.2937322563373545e-06,10237.96352764031,7.242611730673282e-06,30713.890582920933,6.2388043671413585e-06,51189.81763820155,6.100323536563256e-06,71665.74469348216,6.04719019330287e-06,92141.6717487628,6.019086482875263e-06,112617.5988040434,6.001697322272783e-06
37033.29709651378,5.2018207803372355e-06,10432.901055571,7.199432777473628e-06,31298.703166713,6.209021284384731e-06,52164.505277855,6.072490436237323e-06,73030.307388997,6.0201131230882e-06,93896.10950013899,5.9924111212620004e-06,114761.91161128099,5.975271159708995e-06
41028.29120172201,5.12661088401051e-06,10627.838583501689,7.157591495516763e-06,31883.515750505067,6.18019504844011e-06,53139.192917508444,6.0455571998302105e-06,74394.87008451181,5.9939136877232515e-06,95650.5472515152,5.9666015508035874e-06,116906.22441851857,5.9497034294952615e-06
45023.28530693024,5.063910795977859e-06,10822.776111432378,7.117024635548969e-06,32468.328334297134,6.152279384345138e-06,54113.880557161894,6.019480120805882e-06,75759.43278002663,5.9685491857262585e-06,97404.98500289141,5.941615606286451e-06,119050.53722575615,5.92495229989656e-06
