Photon Energy 0,hor_size 0,Photon Energy 1,hor_size 1,Photon Energy 3,hor_size 3,Photon Energy 5,hor_size 5,Photon Energy 7,hor_size 7,Photon Energy 9,hor_size 9,Photon Energy 11,hor_size 11
9068.338360056176,3.0397975396714936e-05,9068.338360056176,3.0399413163129548e-05,27205.015080168527,3.0259432809535017e-05,45341.69180028088,3.0233204979447004e-05,63478.368520393225,3.0222811048220293e-05,81615.04524050558,3.0217343101227292e-05,99751.72196061793,3.0213925162080297e-05
13063.332465264404,3.0332576497416794e-05,9263.275887986865,3.039488734821397e-05,27789.827663960594,3.0257838932149653e-05,46316.379439934324,3.023216192448901e-05,64842.93121590805,3.022198641008512e-05,83369.48299188178,3.021663339535501e-05,101896.03476785551,3.0213287309129318e-05
17058.326570472633,3.0297752466958722e-05,9458.213415917553,3.039054745808613e-05,28374.64024775266,3.0256310676809934e-05,47291.067079587774,3.0231161831289823e-05,66207.49391142288,3.0221195743058187e-05,85123.92074325799,3.0215952928468577e-05,104040.3475750931,3.0212675736337482e-05
21053.32067568086,3.027612443700728e-05,9653.150943848243,3.038638226626473e-05,28959.452831544728,3.0254844072633523e-05,48265.75471924122,3.023020209911904e-05,67572.0566069377,3.0220436990335528e-05,86878.35849463419,3.0215299930123582e-05,106184.66038233067,3.021208885233541e-05
25048.31478088909,3.0261386534331195e-05,9848.088471778932,3.0382381432279284e-05,29544.265415336795,3.0253435462782332e-05,49240.44235889467,3.022928033301118e-05,68936.61930245253,3.0219708257869325e-05,88632.79624601039,3.021467276998357e-05,108328.97318956825,3.0211525191696718e-05
29043.30888609732,3.0250698628014045e-05,10043.025999709622,3.0378535415953818e-05,30129.077999128865,3.025208147401847e-05,50215.12999854811,3.022839432381073e-05,70301.18199796735,3.0219007798581435e-05,90387.23399738659,3.0214069944229244e-05,110473.28599680583,3.021098340272064e-05
33038.30299130555,3.0242592969164736e-05,10237.96352764031,3.0374835401452802e-05,30713.890582920933,3.0250778989734433e-05,51189.81763820155,3.0227542030495236e-05,71665.74469348216,3.0218333998379438e-05,92141.6717487628,3.0213490063519554e-05,112617.5988040434,3.0210462236609768e-05
37033.29709651378,3.023623459781517e-05,10432.901055571,3.03712732298164e-05,31298.703166713,3.0249525126003538e-05,52164.505277855,3.0226721564478725e-05,73030.307388997,3.02176853637395e-05,93896.10950013899,3.021293184230182e-05,114761.91161128099,3.0209960537860563e-05
41028.29120172201,3.023111350517726e-05,10627.838583501689,3.0367841338898258e-05,31883.515750505067,3.0248317210263328e-05,53139.192917508444,3.0225931175641416e-05,74394.87008451181,3.0217060510655052e-05,95650.5472515152,3.021239408929774e-05,116906.22441851857,3.0209477235710963e-05
45023.28530693024,3.0226900569053848e-05,10822.776111432378,3.036453270977519e-05,32468.328334297134,3.024715276230022e-05,54113.880557161894,3.0225169239868138e-05,75759.43278002663,3.021645815477911e-05,97404.98500289141,3.021187569901711e-05,119050.53722575615,3.0209011336511836e-05
49018.279412138465,3.0223373890790895e-05,11017.713639363066,3.036134081882961e-05,33053.1409180892,3.024602947725076e-05,55088.56819681534,3.0224434247908784e-05,77123.99547554147,3.0215877102612556e-05,99159.42275426761,3.021137564417202e-05,121194.85003299374,3.0208561916907986e-05
53013.27351734669,3.0220378418818744e-05,11212.651167293756,3.035825959481616e-05,33637.95350188127,3.0244945210374272e-05,56063.25583646879,3.0223724795399986e-05,78488.55817105628,3.0215316243611106e-05,100913.86050564381,3.0210892968881975e-05,123339.1628402313,3.020812811773014e-05
57008.26762255492,3.0217802539500366e-05,11407.588695224445,3.0355283380318136e-05,34222.766085673335,3.0243897963385213e-05,57037.94347612223,3.0223039573909205e-05,79853.12086657112,3.0214774543101093e-05,102668.29825702001,3.0210426782575423e-05,125483.47564746889,3.0207709138512953e-05
61003.26172776315,3.021556386127229e-05,11602.526223155135,3.035240689707868e-05,34807.5786694654,3.0242885872161993e-05,58012.63111577567,3.0222377362881076e-05,81217.68356208593,3.0214251035909107e-05,104422.73600839621,3.020997625450576e-05,127627.78845470648,3.020730423256544e-05
64998.25583297138,3.0213600238695865e-05,11797.463751085823,3.0349625214759908e-05,35392.39125325747,3.024190719567323e-05,58987.31875542912,3.0221737022381714e-05,82582.24625760075,3.021374482062282e-05,106177.17375977241,3.0209540608810798e-05,129772.10126194404,3.020691270252993e-05
68993.24993817961,3.0211863913521385e-05,11992.401279016512,3.0346933722740874e-05,35977.203837049536,3.0240960305982945e-05,59962.006395082564,3.02211174865502e-05,83946.80895311559,3.0213255054411338e-05,107931.61151114861,3.020911912005391e-05,131916.41406918163,3.0206533896373995e-05
72988.24404338784,3.0210317579028535e-05,12187.338806947202,3.0344328104615013e-05,36562.0164208416,3.024004367921417e-05,60936.694034736014,3.0220517757678208e-05,85311.3716486304,3.0212780948342376e-05,109686.04926252482,3.020871110919289e-05,134060.7268764192,3.0206167203766903e-05
76983.23814859607,3.0208931669285133e-05,12382.27633487789,3.0341804315090394e-05,37146.82900463367,3.023915588736526e-05,61911.38167438946,3.0219936900848468e-05,86675.93434414524,3.0212321763141553e-05,111440.48701390102,3.020831593992943e-05,136205.0396836568,3.020581205279821e-05
80978.2322538043,3.0207682450479832e-05,12577.21386280858,3.033935855903265e-05,37731.64158842574,3.023829559088661e-05,62886.06931404291,3.021937403907158e-05,88040.49703966005,3.021187680534592e-05,113194.92476527722,3.020793301539798e-05,138349.35249089438,3.020546790700142e-05
84973.22635901252,3.020655065046382e-05,12772.15139073927,3.0336987272422363e-05,38316.45417221781,3.0237461531936565e-05,63860.75695369635,3.0218828348867893e-05,89405.05973517487,3.0211445423809506e-05,114949.36251665343,3.0207561775157674e-05,140493.66529813193,3.0205134262650073e-05
88968.22046422075,3.0205520457389893e-05,12967.088918669959,3.0334687105025794e-05,38901.26675600988,3.023665252824511e-05,64835.44459334979,3.02182990562477e-05,90769.6224306897,3.0211027006523956e-05,116703.80026802962,3.0207201692455493e-05,142637.97810536955,3.0204810646297685e-05
92963.21456942898,3.0204578776456575e-05,13162.026446600648,3.0332454904601866e-05,39486.079339801945,3.0235867467522376e-05,65810.13223300324,3.021778543304841e-05,92134.18512620452,3.0210620977721576e-05,118458.23801940584,3.0206852271732536e-05,144782.2909126071,3.0204496612536183e-05
96958.20867463721,3.020371467033853e-05,13356.963974531336,3.0330287702488778e-05,40070.89192359401,3.0235105302356354e-05,66784.81987265669,3.0217286793592305e-05,93498.74782171936,3.0210226795231928e-05,120212.67577078202,3.0206513046348588e-05,146926.6037198447,3.0204191741950585e-05
100953.20277984544,3.0202918932436726e-05,13551.901502462026,3.032818270043167e-05,40655.70450738608,3.0234365045550644e-05,67759.50751231013,3.0216802491632597e-05,94863.31051723417,3.020984394806648e-05,121967.11352215824,3.0206183576502966e-05,149070.91652708227,3.020389563925013e-05
104948.19688505367,3.0202183757567556e-05,13746.839030392715,3.032613725852841e-05,41240.517091178146,3.0233645765858505e-05,68734.19515196358,3.0216331917559173e-05,96227.873212749,3.0209471954208663e-05,123721.55127353444,3.0205863447332255e-05,151215.22933431985,3.020360793155838e-05
