Photon Energy 1,xoppy_flux_1,s4_flux_1,Photon Energy 3,xoppy_flux_3,s4_flux_3,Photon Energy 5,xoppy_flux_5,s4_flux_5,Photon Energy 7,xoppy_flux_7,s4_flux_7,Photon Energy 9,xoppy_flux_9,s4_flux_9
18802.949771644908,11676021760.0,63149068309580.16,56977.93436383069,19.834243774414062,0.0857666189682827,91207.26261700445,19.385425567626953,1812702724.0182738,130265.6839993811,26.963851928710938,47500.63877120542,168847.15791220687,38.449798583984375,0.38865991342190676
18546.978126490103,79377203200000.0,147335635897428.25,55890.378908296276,23533520896.0,73497104018.92947,93333.55750163282,7008327.0,28453493.76519876,130737.53766901101,2074.569091796875,12306.85143559009,167442.47924013168,31.129053115844727,39.6016989878886
17830.336707190065,300043294736384.0,376825204533591.6,53730.70574842551,1260479447040.0,1897268313764.6267,89726.95304040311,5519412224.0,9405292110.511778,125711.21555103792,22759578.0,47692449.37178024,161691.48313455848,94314.9765625,243783.03971464283
16754.836275883164,625505548107776.0,703876257349042.0,50489.57398818228,11788905086976.0,14401650100686.977,84314.33776469452,229139300352.0,308311259950.0481,118127.84828318012,4088046336.0,6738474938.570779,151937.60771565684,75193568.0,148370546.55434558
15451.823165400769,1007543493066752.0,1071812745061033.4,46562.80964703741,52254497308672.0,55726415058443.72,77756.73218900808,2643741638656.0,3125136244534.0684,108940.28772343701,124746653696.0,179131845745.47516,140120.38758868535,6193782784.0,10350133168.450342
14048.26494286877,1400176249929728.0,1433015989183817.0,42380.10488128665,151367800848384.0,141771569781366.06,70693.1200154901,14666366451712.0,15731175756819.514,99043.78475812242,1395781402624.0,1773116887629.2737,127391.31203338565,140376801280.0,201682564584.3658
12645.13430559479,1769769057386496.0,1757399965133359.2,38146.856173806525,331391959040000.0,278427474481501.7,63631.66178145649,51232559333376.0,50074276838647.195,89150.29991023,8142380859392.0,9203684733850.578,114666.11866224321,1389676724224.0,1709492349597.8918
11310.548282972877,2097663101108224.0,2031794152372024.0,34120.40809270355,594030417149952.0,453524377765073.1,56915.16684293142,131611731427328.0,116307557744788.67,79756.30741877502,30291387219968.0,30585534021945.99,102562.57173814789,7752590032896.0,8170398743906.728
10083.010250252188,2377491494731776.0,2254873193182416.0,30416.92557054546,919588267098112.0,647798682561490.8,50757.55668363028,272273210605568.0,215880066645922.6,71099.14719568532,82371281944576.0,74420552597455.39,91441.05750739713,28486282510336.0,26001670252039.082
8978.862816272896,2610646478749696.0,2431712788661432.5,27085.714355124153,1277692104146944.0,842650130454996.4,45198.53093022764,479023708766208.0,342447386940808.9,63312.19965336713,179603553386496.0,144476183272483.75,81426.152425852,77150271045632.0,61879756695044.68
