Photon Energy 0,ver_size 0,Photon Energy 1,ver_size 1,Photon Energy 3,ver_size 3,Photon Energy 5,ver_size 5,Photon Energy 7,ver_size 7,Photon Energy 9,ver_size 9,Photon Energy 11,ver_size 11
9068.338360056176,5.119636407733134e-06,9068.338360056176,5.128166279553932e-06,27205.015080168527,4.219839177369703e-06,45341.69180028088,4.0274622353734216e-06,63478.368520393225,3.94868033455819e-06,81615.04524050558,3.906608865165365e-06,99751.72196061793,3.8800827862159014e-06
13063.332465264404,4.715820787492012e-06,9263.275887986865,5.101269022382335e-06,27789.827663960594,4.208394654973706e-06,46316.379439934324,4.019624778088499e-06,64842.93121590805,3.942363669103827e-06,83369.48299188178,3.901115542685671e-06,101896.03476785551,3.875112740565709e-06
17058.326570472633,4.4863764083281295e-06,9458.213415917553,5.075346641391635e-06,28374.64024775266,4.197392583466884e-06,47291.067079587774,4.012096010532989e-06,66207.49391142288,3.936297863264192e-06,85123.92074325799,3.895841385827816e-06,104040.3475750931,3.870341571124653e-06
21053.32067568086,4.337911900125397e-06,9653.150943848243,5.050346122759081e-06,28959.452831544728,4.186807684557276e-06,48265.75471924122,4.0048580101772776e-06,67572.0566069377,3.930468243726174e-06,86878.35849463419,3.8907735214769465e-06,106184.66038233067,3.865757564761342e-06
25048.31478088909,4.2338261310900956e-06,9848.088471778932,5.026218282626524e-06,29544.265415336795,4.176616576708423e-06,49240.44235889467,3.997894218194935e-06,68936.61930245253,3.9248612610938795e-06,88632.79624601039,3.885900066302101e-06,108328.97318956825,3.861349911187204e-06
29043.30888609732,4.1567458679874625e-06,10043.025999709622,5.002917423510046e-06,30129.077999128865,4.166797599926308e-06,50215.12999854811,3.991189311958637e-06,70301.18199796735,3.91946438417619e-06,90387.23399738659,3.881210033337155e-06,110473.28599680583,3.8571086175478475e-06
33038.30299130555,4.097340384526567e-06,10237.96352764031,4.980401027372225e-06,30713.890582920933,4.15733065967313e-06,51189.81763820155,3.984729091601584e-06,71665.74469348216,3.914266005998407e-06,92141.6717487628,3.876693248955205e-06,112617.5988040434,3.853024432536698e-06
37033.29709651378,4.050142143458066e-06,10432.901055571,4.958629480840686e-06,31298.703166713,4.148197087509158e-06,52164.505277855,3.978500378864265e-06,73030.307388997,3.909255360047049e-06,93896.10950013899,3.872340278910834e-06,114761.91161128099,3.8490887788140875e-06
41028.29120172201,4.011731856818312e-06,10627.838583501689,4.9375658286850075e-06,31883.515750505067,4.139379516402501e-06,53139.192917508444,3.972490926699717e-06,74394.87008451181,3.904422445469866e-06,95650.5472515152,3.868142362314634e-06,116906.22441851857,3.84529369268965e-06
45023.28530693024,3.97986014070441e-06,10822.776111432378,4.917175552195331e-06,32468.328334297134,4.130861768932205e-06,54113.880557161894,3.966689338323717e-06,75759.43278002663,3.899757960132503e-06,97404.98500289141,3.864091352564106e-06,119050.53722575615,3.84163177017275e-06
49018.279412138465,3.952985968940538e-06,11017.713639363066,4.897426369556654e-06,33053.1409180892,4.122628756851853e-06,55088.56819681534,3.961084994576799e-06,77123.99547554147,3.895253240584729e-06,99159.42275426761,3.86017966439003e-06,121194.85003299374,3.838096118619689e-06
53013.27351734669,3.930017875876093e-06,11212.651167293756,4.8782880556961255e-06,33637.95350188127,4.114666390686083e-06,56063.25583646879,3.955667988617845e-06,78488.55817105628,3.890900208117539e-06,100913.86050564381,3.856400226291661e-06,123339.1628402313,3.834680313311426e-06
57008.26762255492,3.910160999797173e-06,11407.588695224445,4.859732279407827e-06,34222.766085673335,4.10696149820718e-06,57037.94347612223,3.950429067099152e-06,79853.12086657112,3.886691320201534e-06,102668.29825702001,3.852746437731199e-06,125483.47564746889,3.83137835838474e-06
61003.26172776315,3.892822649790771e-06,11602.526223155135,4.841732455839476e-06,34807.5786694654,4.099501750788204e-06,58012.63111577567,3.945359577083761e-06,81217.68356208593,3.882619526690002e-06,104422.73600839621,3.849212130540705e-06,127627.78845470648,3.828184651615697e-06
64998.25583297138,3.877551819360104e-06,11797.463751085823,4.824263612665716e-06,35392.39125325747,4.092275596756904e-06,58987.31875542912,3.940451418060806e-06,82582.24625760075,3.878678230249614e-06,106177.17375977241,3.845791534065337e-06,129772.10126194404,3.8250939526192125e-06
68993.24993817961,3.86399920512874e-06,11992.401279016512,4.807302268479412e-06,35977.203837049536,4.085272200984425e-06,59962.006395082564,3.93569699849599e-06,83946.80895311559,3.874861250549793e-06,107931.61151114861,3.8424792436273256e-06,131916.41406918163,3.822101354084055e-06
72988.24404338784,3.851890049554966e-06,12187.338806947202,4.790826322110695e-06,36562.0164208416,4.0784813900373495e-06,60936.694034736014,3.931089196424316e-06,85311.3716486304,3.871162791800404e-06,109686.04926252482,3.839270191947153e-06,134060.7268764192,3.8192022557103795e-06
76983.23814859607,3.841005249623875e-06,12382.27633487789,4.7748149517377065e-06,37146.82900463367,4.071893602303121e-06,61911.38167438946,3.926621323652556e-06,86675.93434414524,3.867577413277829e-06,111440.48701390102,3.836159623203204e-06,136205.0396836568,3.816392340557994e-06
80978.2322538043,3.831167936429751e-06,12577.21386280858,4.759248522786738e-06,37731.64158842574,4.0654998425694945e-06,62886.06931404291,3.9222870931910705e-06,88040.49703966005,3.864100002523087e-06,113194.92476527722,3.833143069449843e-06,138349.35249089438,3.8136675535490387e-06
84973.22635901252,3.822233761445809e-06,12772.15139073927,4.744108503735599e-06,38316.45417221781,4.05929164059983e-06,63860.75695369635,3.9180805895797725e-06,89405.05973517487,3.8607257509334055e-06,114949.36251665343,3.830216329147358e-06,140493.66529813193,3.811024081899425e-06
88968.22046422075,3.8140837471009003e-06,12967.088918669959,4.729377389035275e-06,38901.26675600988,4.053261013299234e-06,64835.44459334979,3.913996241812271e-06,90769.6224306897,3.857450131501342e-06,116703.80026802962,3.827375447586239e-06,142637.97810536955,3.8084583372800486e-06
92963.21456942898,3.806618944847385e-06,13162.026446600648,4.715038628453193e-06,39486.079339801945,4.0474004301128736e-06,65810.13223300324,3.91002879859632e-06,92134.18512620452,3.8542688784840705e-06,118458.23801940584,3.824616699013526e-06,144782.2909126071,3.8059669395318847e-06
96958.20867463721,3.7997563889442683e-06,13356.963974531336,4.701076562218707e-06,40070.89192359401,4.041702781338245e-06,66784.81987265669,3.906173305718505e-06,93498.74782171936,3.851177968810209e-06,120212.67577078202,3.821936570290949e-06,146926.6037198447,3.8035467017792546e-06
100953.20277984544,3.7934259934055316e-06,13551.901502462026,4.687476361419086e-06,40655.70450738608,4.03616134906852e-06,67759.50751231013,3.902425085307059e-06,94863.31051723417,3.8481736050532925e-06,121967.11352215824,3.819331745933776e-06,149070.91652708227,3.801194616803126e-06
104948.19688505367,3.787568145126558e-06,13746.839030392715,4.674223973153731e-06,41240.517091178146,4.030769780515126e-06,68734.19515196358,3.898779716809512e-06,96227.873212749,3.845252199819889e-06,123721.55127353444,3.8167990943961005e-06,151215.22933431985,3.7989078445516995e-06
108943.1909902619,3.7821318174773597e-06,13941.776558323403,4.6613060700066805e-06,41825.32967497021,4.025522063484937e-06,69708.88279161703,3.895233019521811e-06,97592.43590826383,3.842410361417053e-06,125475.98902491064,3.8143356554830137e-06,153359.54214155744,3.796683700679027e-06
112938.18509547012,3.7770730775862276e-06,14136.714086254093,4.648710003443563e-06,42410.14225876228,4.020412503811382e-06,70683.57043127046,3.891781036523152e-06,98956.99860377864,3.8396448806783555e-06,127230.42677628684,3.8119386287830627e-06,155503.85494879502,3.794519646014229e-06
116933.17920067835,3.7723538946523487e-06,14331.651614184782,4.636423760779872e-06,42994.95484255435,4.015435704559924e-06,71658.25807092391,3.888420019886182e-06,100321.56129929348,3.836952718840628e-06,128984.86452766304,3.8096053630257333e-06,157648.1677560326,3.7924132768743055e-06
120928.17330588658,3.767941180746604e-06,14526.58914211547,4.624435925403481e-06,43579.767426346414,4.010586546846996e-06,72632.94571057736,3.885146417045893e-06,101686.1239948083,3.834330996374882e-06,130739.30227903924,3.807333346278769e-06,159792.48056327016,3.790362316142707e-06
